FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,Relation_Context_ClinicalPhase,Relation_Context_DiseaseArea,Relation_Context_Indication
1,2,0.0408,VEP,,,,,,,
3,4,0.0332,VEP,,,,,,,
5,6,0.0292,VEP,,,,,,,
7,8,0.028,VEP,,,,,,,
9,10,0.0263,VEP,,,,,,,
11,12,0.0362,VEP,,,,,,,
13,14,0.0243,VEP,,,,,,,
15,16,0.0293,VEP,,,,,,,
17,18,0.0232,VEP,,,,,,,
19,20,0.0231,VEP,,,,,,,
21,22,0.0453,VEP,,,,,,,
23,24,0.0371,VEP,,,,,,,
23,24,0.0388,VEP,,,,,,,
23,24,0.0412,VEP,,,,,,,
25,26,0.0714,VEP,,,,,,,
25,26,0.0739,VEP,,,,,,,
25,26,0.0767,VEP,,,,,,,
21,22,0.0423,VEP,,,,,,,
25,27,0.0384,VEP,,,,,,,
25,27,0.0432,VEP,,,,,,,
25,27,0.0484,VEP,,,,,,,
28,29,0.0486,VEP,,,,,,,
30,31,0.0389,VEP,,,,,,,
32,33,0.0374,VEP,,,,,,,
34,35,0.03,VEP,,,,,,,
25,26,0.079,VEP,,,,,,,
36,37,0.02,VEP,,,,,,,
38,39,0.027,VEP,,,,,,,
40,41,0.019,VEP,,,,,,,
42,43,0.024,VEP,,,,,,,
30,31,0.043,VEP,,,,,,,
44,45,0.0288,VEP,,,,,,,
30,31,0.0356,VEP,,,,,,,
46,47,0.0234,VEP,,,,,,,
48,49,0.0345,VEP,,,,,,,
50,51,0.0208,VEP,,,,,,,
25,52,0.07,VEP,,,,,,,
5,53,0.0254,VEP,,,,,,,
54,55,0.0391,VEP,,,,,,,
56,57,0.037,VEP,,,,,,,
11,12,0.0366,VEP,,,,,,,
23,58,0.0391,VEP,,,,,,,
59,60,0.0351,VEP,,,,,,,
46,47,0.0286,VEP,,,,,,,
54,55,0.0268,VEP,,,,,,,
23,58,0.0393,VEP,,,,,,,
44,45,0.0274,VEP,,,,,,,
30,31,0.0428,VEP,,,,,,,
48,49,0.0355,VEP,,,,,,,
25,52,0.0716,VEP,,,,,,,
61,62,,VEP,,,,,,,
63,64,0.014,VEP,,,,,,,
36,37,0.019,VEP,,,,,,,
38,39,0.022,VEP,,,,,,,
65,66,0.017,VEP,,,,,,,
40,41,0.016,VEP,,,,,,,
67,68,0.016,VEP,,,,,,,
69,70,0.023,VEP,,,,,,,
71,72,0.02,VEP,,,,,,,
23,73,0.045,VEP,,,,,,,
74,75,0.023,VEP,,,,,,,
25,26,0.082,VEP,,,,,,,
76,77,0.033,VEP,,,,,,,
42,43,0.019,VEP,,,,,,,
30,31,0.04,VEP,,,,,,,
34,35,0.028,VEP,,,,,,,
71,72,0.019,VEP,,,,,,,
28,78,0.017,VEP,,,,,,,
25,26,0.081,VEP,,,,,,,
76,77,0.032,VEP,,,,,,,
42,43,0.016,VEP,,,,,,,
34,35,0.029,VEP,,,,,,,
74,75,0.024,VEP,,,,,,,
79,80,,VEP,,,,,,,
79,81,,VEP,,,,,,,
79,82,,VEP,,,,,,,
79,83,,VEP,,,,,,,
79,84,,VEP,,,,,,,
28,29,0.027,VEP,,,,,,,
5,85,0.0255,VEP,,,,,,,
23,86,0.0186,VEP,,,,,,,
30,31,0.0361,VEP,,,,,,,
30,31,0.0342,VEP,,,,,,,
32,33,0.0338,VEP,,,,,,,
32,33,0.0313,VEP,,,,,,,
44,87,0.0295,VEP,,,,,,,
44,87,0.0282,VEP,,,,,,,
11,12,0.0278,VEP,,,,,,,
11,12,0.0262,VEP,,,,,,,
69,70,0.0255,VEP,,,,,,,
69,70,0.0235,VEP,,,,,,,
54,55,0.0223,VEP,,,,,,,
46,88,0.0239,VEP,,,,,,,
89,37,0.0209,VEP,,,,,,,
46,88,0.0256,VEP,,,,,,,
46,88,0.0279,VEP,,,,,,,
90,91,,VEP,,,,,,,
61,92,,VEP,,,,,,,
93,94,0.026,VEP,,,,,,,
95,96,0.02,VEP,,,,,,,
23,73,0.047,VEP,,,,,,,
1,2,0.0308,VEP,,,,,,,
1,2,0.0304,VEP,,,,,,,
21,97,0.0268,VEP,,,,,,,
98,99,0.0186,VEP,,,,,,,
100,101,0.0208,VEP,,,,,,,
102,101,0.0208,VEP,,,,,,,
103,104,0.018,VEP,,,,,,,
103,104,0.029,VEP,,,,,,,
21,97,0.0245,VEP,,,,,,,
21,97,0.0233,VEP,,,,,,,
98,99,0.0218,VEP,,,,,,,
5,53,0.0204,VEP,,,,,,,
54,55,0.0324,VEP,,,,,,,
56,57,0.032,VEP,,,,,,,
11,12,0.0367,VEP,,,,,,,
105,106,0.0211,VEP,,,,,,,
59,60,0.029,VEP,,,,,,,
79,107,0.0079,VEP,,,,,,,
79,108,0.0534,VEP,,,,,,,
79,109,,VEP,,,,,,,
110,111,,VEP,,,,,,,
112,111,,VEP,,,,,,,
113,111,,VEP,,,,,,,
114,111,,VEP,,,,,,,
115,116,9460.76,VEP,,,,,,,
117,116,9460.76,VEP,,,,,,,
118,116,9460.76,VEP,,,,,,,
79,119,0.002,VEP,,,,,,,
79,120,0.002,VEP,,,,,,,
79,121,0.002,VEP,,,,,,,
79,122,0.0021,VEP,,,,,,,
79,123,0.0018,VEP,,,,,,,
79,124,0.0018,VEP,,,,,,,
79,125,0.0021,VEP,,,,,,,
48,49,0.031,VEP,,,,,,,
126,127,0.016,VEP,,,,,,,
103,104,0.015,VEP,,,,,,,
59,60,0.017,VEP,,,,,,,
93,94,0.023,VEP,,,,,,,
128,129,0.024,VEP,,,,,,,
46,88,0.021,VEP,,,,,,,
130,131,0.014,VEP,,,,,,,
132,133,0.016,VEP,,,,,,,
134,135,0.016,VEP,,,,,,,
95,96,0.015,VEP,,,,,,,
136,137,0.019,VEP,,,,,,,
69,70,0.019,VEP,,,,,,,
138,139,0.016,VEP,,,,,,,
140,141,1.658,VEP,,,,,,,
142,143,1.6417665,VEP,,,,,,,
36,37,0.018,VEP,,,,,,,
38,39,0.021,VEP,,,,,,,
128,129,0.021,VEP,,,,,,,
144,145,2.18,VEP,,,,,,,
146,147,3.304,VEP,,,,,,,
148,147,3.304,VEP,,,,,,,
149,150,1.23,VEP,,,,,,,
140,151,1.16,VEP,,,,,,,
152,153,1.159,VEP,,,,,,,
154,153,1.159,VEP,,,,,,,
155,156,1.44,VEP,,,,,,,
157,158,1.128,VEP,,,,,,,
159,158,1.128,VEP,,,,,,,
160,161,3.38,VEP,,,,,,,
148,161,3.38,VEP,,,,,,,
149,150,1.2,VEP,,,,,,,
162,163,2.416,VEP,,,,,,,
113,163,2.416,VEP,,,,,,,
164,163,2.416,VEP,,,,,,,
165,163,2.416,VEP,,,,,,,
155,156,1.599,VEP,,,,,,,
166,167,1.164,VEP,,,,,,,
168,167,1.164,VEP,,,,,,,
79,169,0.0537,VEP,,,,,,,
79,170,0.0448,VEP,,,,,,,
79,171,0.1038,VEP,,,,,,,
79,172,0.1806,VEP,,,,,,,
79,173,0.0854,VEP,,,,,,,
79,174,0.2241,VEP,,,,,,,
79,175,0.1126,VEP,,,,,,,
79,176,0.1216,VEP,,,,,,,
79,177,0.1076,VEP,,,,,,,
79,178,0.0436,VEP,,,,,,,
79,179,0.0412,VEP,,,,,,,
79,180,0.0415,VEP,,,,,,,
79,181,0.0904,VEP,,,,,,,
79,182,0.0908,VEP,,,,,,,
183,184,0.1755,VEP,,,,,,,
183,184,0.0819,VEP,,,,,,,
183,184,0.1252,VEP,,,,,,,
183,184,0.0834,VEP,,,,,,,
