FromID,ToID,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
147,2418,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
147,2419,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
147,2420,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
147,2421,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
147,2422,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
147,2423,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
147,2424,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
147,2425,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
147,2426,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
362,2429,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
362,2430,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
362,2431,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
362,2432,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
362,2433,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
362,2434,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
362,2435,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
362,2436,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
362,2437,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
362,2438,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1723,2441,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1723,2432,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
454,2434,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2018,2447,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2018,2448,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2018,2449,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2018,2450,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1247,2434,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1247,2432,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1247,2436,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1247,2441,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1247,2431,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1247,2438,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1247,2433,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1247,2451,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1247,2452,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2453,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2454,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2455,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2452,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2456,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2426,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2457,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2436,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2438,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2425,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2451,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2458,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2459,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2460,GO:BP,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
