FromID,ToID,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
362,2439,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2476,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2439,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2477,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2478,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2478,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2439,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
28,2483,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
28,2476,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
28,2439,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
28,2477,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
716,2476,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2214,2439,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2214,2477,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1979,2439,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2135,2439,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2135,2477,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
252,2439,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
252,2477,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2291,2490,GO:MF,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
