FromID,ToID,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
147,2427,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
147,2428,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2202,2427,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2202,2428,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
2202,2440,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
21,2428,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
454,2428,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1088,2442,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1088,2443,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1088,2444,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1088,2445,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
1088,2446,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2446,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2465,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2466,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2467,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2468,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2444,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2469,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2445,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2470,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2442,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2471,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2472,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2473,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2443,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2474,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
9,2475,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
892,2428,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2468,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2446,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2444,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2445,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2442,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2443,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2465,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2467,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2466,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
66,2471,GO_CC,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Pathway
