FromID,ToID,Relation_value,Relation_type,Relation_Context_ClinicalPhase,Relation_Context_DiseaseArea,Relation_Context_Indication
1,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
3,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
4,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
5,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
6,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
7,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
8,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
9,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
10,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
11,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
12,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
13,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
14,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
15,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
16,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
17,2,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
24,83,benzodiazepine receptor agonist,MoA,Launched,infectious disease,gastrointestinal parasites
26,83,benzodiazepine receptor agonist,MoA,Launched,infectious disease,gastrointestinal parasites
90,91,CDK inhibitor,MoA,Launched,oncology,breast cancer
92,91,CDK inhibitor,MoA,Launched,oncology,breast cancer
93,94,androgen biosynthesis inhibitor,MoA,Launched,oncology,prostate cancer
95,94,androgen biosynthesis inhibitor,MoA,Launched,oncology,prostate cancer
95,96,androgen biosynthesis inhibitor,MoA,Launched,oncology,prostate cancer
