FromID,ToID,Relation_value,Relation_type,Relation_Context_ClinicalPhase,Relation_Context_DiseaseArea,Relation_Context_Indication,FromType,ToType
25541,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25543,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25544,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25545,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25546,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25547,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25548,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25549,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25550,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25551,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25552,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25553,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25554,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
7079,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25555,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
25556,25542,dopamine receptor agonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease,Gene,Chemical_Compound
13139,25601,benzodiazepine receptor agonist,MoA,Launched,infectious disease,gastrointestinal parasites,Gene,Chemical_Compound
25560,25601,benzodiazepine receptor agonist,MoA,Launched,infectious disease,gastrointestinal parasites,Gene,Chemical_Compound
5659,25607,CDK inhibitor,MoA,Launched,oncology,breast cancer,Gene,Chemical_Compound
