FromID,ToID,Relation_value,Relation_type,Relation_Context_ClinicalPhase
18,19,phosphodiesterase inhibitor,MoA,Phase 1
20,19,phosphodiesterase inhibitor,MoA,Phase 1
21,19,phosphodiesterase inhibitor,MoA,Phase 1
22,19,phosphodiesterase inhibitor,MoA,Phase 1
23,19,phosphodiesterase inhibitor,MoA,Phase 1
24,25,benzodiazepine receptor agonist,MoA,Phase 3
26,25,benzodiazepine receptor agonist,MoA,Phase 3
20,27,phosphodiesterase inhibitor,MoA,Phase 1
22,27,phosphodiesterase inhibitor,MoA,Phase 1
28,29,tachykinin antagonist,MoA,Preclinical
30,31,glycogen synthase kinase inhibitor,MoA,Preclinical
32,31,glycogen synthase kinase inhibitor,MoA,Preclinical
33,34,retinoid receptor ligand,MoA,Preclinical
35,36,purinergic receptor antagonist,MoA,Preclinical
37,38,histone lysine methyltransferase inhibitor,MoA,Preclinical
39,38,histone lysine methyltransferase inhibitor,MoA,Preclinical
9,40,dopamine receptor agonist,MoA,Preclinical
41,42,purinergic receptor antagonist,MoA,Preclinical
43,44,nicotinic receptor agonist,MoA,Preclinical
45,46,adrenergic receptor agonist,MoA,Preclinical
47,46,adrenergic receptor agonist,MoA,Preclinical
48,46,adrenergic receptor agonist,MoA,Preclinical
49,50,AKT inhibitor,MoA,Preclinical
51,50,AKT inhibitor,MoA,Preclinical
52,50,AKT inhibitor,MoA,Preclinical
53,54,transient receptor potential channel antagonist,MoA,Preclinical
55,56,sodium channel blocker,MoA,Preclinical
41,57,purinergic receptor antagonist,MoA,Preclinical
41,58,purinergic receptor antagonist,MoA,Preclinical
59,60,acetylcholine receptor allosteric modulator,MoA,Preclinical
61,60,acetylcholine receptor allosteric modulator,MoA,Preclinical
43,60,acetylcholine receptor allosteric modulator,MoA,Preclinical
55,62,sodium channel blocker,MoA,Preclinical
63,64,diacylglycerol O acyltransferase inhibitor,MoA,Preclinical
65,66,stearoyl-CoA desaturase inhibitor,MoA,Preclinical
67,68,transient receptor potential channel antagonist,MoA,Preclinical
69,70,histamine receptor antagonist,MoA,Preclinical
71,70,histamine receptor antagonist,MoA,Preclinical
72,70,histamine receptor antagonist,MoA,Preclinical
73,70,histamine receptor antagonist,MoA,Preclinical
74,70,histamine receptor antagonist,MoA,Preclinical
75,70,histamine receptor antagonist,MoA,Preclinical
76,70,histamine receptor antagonist,MoA,Preclinical
8,70,histamine receptor antagonist,MoA,Preclinical
11,70,histamine receptor antagonist,MoA,Preclinical
12,70,histamine receptor antagonist,MoA,Preclinical
14,70,histamine receptor antagonist,MoA,Preclinical
15,70,histamine receptor antagonist,MoA,Preclinical
77,70,histamine receptor antagonist,MoA,Preclinical
78,70,histamine receptor antagonist,MoA,Preclinical
79,80,GABA receptor positive allosteric modulator,MoA,Preclinical
81,80,GABA receptor positive allosteric modulator,MoA,Preclinical
