FromID,ToID,Relation_value,Relation_type,Relation_Context_ClinicalPhase,FromType,ToType
3004,25557,phosphodiesterase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
11307,25557,phosphodiesterase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
25558,25557,phosphodiesterase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
7103,25557,phosphodiesterase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
11214,25557,phosphodiesterase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
13139,25559,benzodiazepine receptor agonist,MoA,Phase 3,Gene,Chemical_Compound
25560,25559,benzodiazepine receptor agonist,MoA,Phase 3,Gene,Chemical_Compound
11307,25561,phosphodiesterase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
7103,25561,phosphodiesterase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
12473,25562,tachykinin antagonist,MoA,Preclinical,Gene,Chemical_Compound
6999,25563,glycogen synthase kinase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
8086,25563,glycogen synthase kinase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
13789,25564,retinoid receptor ligand,MoA,Preclinical,Gene,Chemical_Compound
25565,25566,purinergic receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
2788,25567,histone lysine methyltransferase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
5189,25567,histone lysine methyltransferase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
25549,25568,dopamine receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25569,25570,purinergic receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25571,25572,nicotinic receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25573,25574,adrenergic receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
13991,25574,adrenergic receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25575,25574,adrenergic receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
11481,25576,AKT inhibitor,MoA,Preclinical,Gene,Chemical_Compound
12916,25576,AKT inhibitor,MoA,Preclinical,Gene,Chemical_Compound
5770,25576,AKT inhibitor,MoA,Preclinical,Gene,Chemical_Compound
6190,25577,transient receptor potential channel antagonist,MoA,Preclinical,Gene,Chemical_Compound
25578,25579,sodium channel blocker,MoA,Preclinical,Gene,Chemical_Compound
25569,25580,purinergic receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25569,25581,purinergic receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25582,25583,acetylcholine receptor allosteric modulator,MoA,Preclinical,Gene,Chemical_Compound
25584,25583,acetylcholine receptor allosteric modulator,MoA,Preclinical,Gene,Chemical_Compound
25571,25583,acetylcholine receptor allosteric modulator,MoA,Preclinical,Gene,Chemical_Compound
25578,25585,sodium channel blocker,MoA,Preclinical,Gene,Chemical_Compound
6399,25586,diacylglycerol O acyltransferase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
4180,25587,stearoyl-CoA desaturase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
10608,25588,transient receptor potential channel antagonist,MoA,Preclinical,Gene,Chemical_Compound
8041,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25590,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25591,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25592,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25593,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25594,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25595,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25548,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25551,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25552,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25554,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
7079,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25596,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25597,25589,histamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25598,25599,GABA receptor positive allosteric modulator,MoA,Preclinical,Gene,Chemical_Compound
25600,25599,GABA receptor positive allosteric modulator,MoA,Preclinical,Gene,Chemical_Compound
15774,25599,GABA receptor positive allosteric modulator,MoA,Preclinical,Gene,Chemical_Compound
25602,25603,metalloproteinase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
25604,25605,gonadotropin releasing factor hormone receptor antagonist,MoA,Phase 3,Gene,Chemical_Compound
6510,25606,sphingosine kinase inhibitor,MoA,Phase 2,Gene,Chemical_Compound
13040,25612,histamine receptor antagonist,MoA,Phase 1,Gene,Chemical_Compound
25613,25612,histamine receptor antagonist,MoA,Phase 1,Gene,Chemical_Compound
25614,25612,histamine receptor antagonist,MoA,Phase 1,Gene,Chemical_Compound
25615,25616,platelet activating factor receptor antagonist,MoA,Phase 1,Gene,Chemical_Compound
25617,25618,calcium channel blocker,MoA,Phase 2,Gene,Chemical_Compound
25619,25618,calcium channel blocker,MoA,Phase 2,Gene,Chemical_Compound
25620,25618,calcium channel blocker,MoA,Phase 2,Gene,Chemical_Compound
10319,25621,adenosine kinase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
25549,25622,dopamine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
5075,25623,BCL inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
16033,25623,BCL inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
13520,25623,BCL inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
7762,25624,tubulin polymerization inhibitor,MoA,Phase 2,Gene,Chemical_Compound
25625,25626,estrogen receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
14201,25627,retinoid receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
7740,25628,PAR agonist,MoA,Preclinical,Gene,Chemical_Compound
9999,25629,PARP inhibitor,MoA,Preclinical,Gene,Chemical_Compound
6481,25630,retinoid receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
14201,25630,retinoid receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
5185,25631,PDGFR tyrosine kinase receptor inhibitor,MoA,Preclinical,Gene,Chemical_Compound
