FromID,ToID,Relation_type,Relation_Context_ClinicalPhase,FromType,ToType
7230,25640,MoA,Phase 3,Gene,Chemical_Compound
25641,25640,MoA,Phase 3,Gene,Chemical_Compound
25642,25640,MoA,Phase 3,Gene,Chemical_Compound
7640,26040,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
26071,26072,MoA,Phase 1,Gene,Chemical_Compound
26101,26102,MoA,Launched,Gene,Chemical_Compound
6190,26102,MoA,Launched,Gene,Chemical_Compound
26315,26316,MoA,Phase 3,Gene,Chemical_Compound
26317,26316,MoA,Phase 3,Gene,Chemical_Compound
26075,26316,MoA,Phase 3,Gene,Chemical_Compound
25779,26316,MoA,Phase 3,Gene,Chemical_Compound
11393,26316,MoA,Phase 3,Gene,Chemical_Compound
26029,26316,MoA,Phase 3,Gene,Chemical_Compound
26318,26316,MoA,Phase 3,Gene,Chemical_Compound
26319,26316,MoA,Phase 3,Gene,Chemical_Compound
7230,26335,MoA,Preclinical,Gene,Chemical_Compound
15875,26354,MoA,Phase 1,Gene,Chemical_Compound
10748,26651,MoA,Preclinical,Gene,Chemical_Compound
7555,26651,MoA,Preclinical,Gene,Chemical_Compound
25646,26651,MoA,Preclinical,Gene,Chemical_Compound
25647,26651,MoA,Preclinical,Gene,Chemical_Compound
26652,26651,MoA,Preclinical,Gene,Chemical_Compound
26653,26651,MoA,Preclinical,Gene,Chemical_Compound
15412,26770,MoA,Preclinical,Gene,Chemical_Compound
10833,26830,MoA,Preclinical,Gene,Chemical_Compound
15382,26906,MoA,Launched,Gene,Chemical_Compound
12593,26906,MoA,Launched,Gene,Chemical_Compound
4546,26906,MoA,Launched,Gene,Chemical_Compound
14586,26906,MoA,Launched,Gene,Chemical_Compound
6599,26906,MoA,Launched,Gene,Chemical_Compound
13333,26906,MoA,Launched,Gene,Chemical_Compound
4710,26906,MoA,Launched,Gene,Chemical_Compound
26907,26906,MoA,Launched,Gene,Chemical_Compound
6861,26908,MoA,Phase 2,Gene,Chemical_Compound
7886,26908,MoA,Phase 2,Gene,Chemical_Compound
26909,26908,MoA,Phase 2,Gene,Chemical_Compound
6587,26908,MoA,Phase 2,Gene,Chemical_Compound
26771,26908,MoA,Phase 2,Gene,Chemical_Compound
3230,26908,MoA,Phase 2,Gene,Chemical_Compound
8835,26908,MoA,Phase 2,Gene,Chemical_Compound
26910,26908,MoA,Phase 2,Gene,Chemical_Compound
2742,26908,MoA,Phase 2,Gene,Chemical_Compound
9968,26908,MoA,Phase 2,Gene,Chemical_Compound
9969,26908,MoA,Phase 2,Gene,Chemical_Compound
2789,26908,MoA,Phase 2,Gene,Chemical_Compound
26911,26908,MoA,Phase 2,Gene,Chemical_Compound
26912,26908,MoA,Phase 2,Gene,Chemical_Compound
7552,26908,MoA,Phase 2,Gene,Chemical_Compound
5705,26908,MoA,Phase 2,Gene,Chemical_Compound
12175,26908,MoA,Phase 2,Gene,Chemical_Compound
4215,26908,MoA,Phase 2,Gene,Chemical_Compound
26913,26908,MoA,Phase 2,Gene,Chemical_Compound
13469,26908,MoA,Phase 2,Gene,Chemical_Compound
26914,26908,MoA,Phase 2,Gene,Chemical_Compound
26915,26908,MoA,Phase 2,Gene,Chemical_Compound
11189,26908,MoA,Phase 2,Gene,Chemical_Compound
26916,26908,MoA,Phase 2,Gene,Chemical_Compound
26917,26908,MoA,Phase 2,Gene,Chemical_Compound
2650,26908,MoA,Phase 2,Gene,Chemical_Compound
26918,26908,MoA,Phase 2,Gene,Chemical_Compound
5455,26908,MoA,Phase 2,Gene,Chemical_Compound
11361,26908,MoA,Phase 2,Gene,Chemical_Compound
8154,26908,MoA,Phase 2,Gene,Chemical_Compound
6730,26908,MoA,Phase 2,Gene,Chemical_Compound
7107,26908,MoA,Phase 2,Gene,Chemical_Compound
8585,26908,MoA,Phase 2,Gene,Chemical_Compound
25581,26908,MoA,Phase 2,Gene,Chemical_Compound
26919,26908,MoA,Phase 2,Gene,Chemical_Compound
6112,26908,MoA,Phase 2,Gene,Chemical_Compound
10895,26908,MoA,Phase 2,Gene,Chemical_Compound
2843,26908,MoA,Phase 2,Gene,Chemical_Compound
3311,26908,MoA,Phase 2,Gene,Chemical_Compound
6815,26908,MoA,Phase 2,Gene,Chemical_Compound
13793,26908,MoA,Phase 2,Gene,Chemical_Compound
26920,26908,MoA,Phase 2,Gene,Chemical_Compound
