FromID,ToID,Relation_value,Relation_type
40312,6567,0.0438,ORorBETA
40312,6569,0.0334,ORorBETA
40312,6571,0.0296,ORorBETA
40312,6573,0.031,ORorBETA
40312,6575,0.0338,ORorBETA
40312,6577,0.0433,ORorBETA
40312,6579,0.0254,ORorBETA
40312,6581,0.0348,ORorBETA
40312,6583,0.0266,ORorBETA
40312,6585,0.0231,ORorBETA
40312,6587,0.0478,ORorBETA
40312,15582,0.0247,ORorBETA
40312,20353,0.063,ORorBETA
40312,7202,0.0331,ORorBETA
40312,6617,0.0482,ORorBETA
40312,10117,0.0325,ORorBETA
40312,7299,0.0292,ORorBETA
40312,11005,0.032,ORorBETA
40312,18717,0.0306,ORorBETA
40312,21418,0.0189605,ORorBETA
40312,21419,0.0250916,ORorBETA
40312,21420,0.0239119,ORorBETA
40312,21422,0.0910257,ORorBETA
40312,10918,0.0837249,ORorBETA
40312,21423,0.0948226,ORorBETA
40312,21424,0.0170743,ORorBETA
40312,21425,0.0214887,ORorBETA
40312,21426,0.0707186,ORorBETA
40312,21427,0.0337117,ORorBETA
40312,21428,0.0333816,ORorBETA
40312,21429,0.0354796,ORorBETA
40312,19018,0.0206971,ORorBETA
40312,21430,0.0349734,ORorBETA
40312,21431,0.0377437,ORorBETA
40312,21432,0.0286974,ORorBETA
40312,18720,0.0413263,ORorBETA
40312,19445,0.0279052,ORorBETA
40312,17579,0.0464833,ORorBETA
40312,21433,0.045855,ORorBETA
40312,21434,0.0367251,ORorBETA
40312,16454,0.0293117,ORorBETA
40312,21435,0.0359966,ORorBETA
40312,21436,0.0323087,ORorBETA
40312,21437,0.0196596,ORorBETA
40312,21438,0.0198962,ORorBETA
40312,21439,0.0200168,ORorBETA
40312,21440,0.0194794,ORorBETA
40312,21441,0.0196765,ORorBETA
40312,21442,0.0230514,ORorBETA
40312,16921,0.0255347,ORorBETA
40312,21443,0.082304,ORorBETA
40312,21444,0.0672114,ORorBETA
40312,17265,0.020957,ORorBETA
40312,21445,0.0253701,ORorBETA
40312,21446,0.0238148,ORorBETA
40312,21447,0.0282059,ORorBETA
40312,21448,0.0230515,ORorBETA
40312,21449,0.0252592,ORorBETA
40312,21450,0.0166947,ORorBETA
40312,21451,0.0493584,ORorBETA
40312,21453,0.0163369,ORorBETA
40312,21454,0.0870835,ORorBETA
40312,11186,0.0410297,ORorBETA
40312,21455,0.022581,ORorBETA
40312,21456,0.042766,ORorBETA
40312,12209,0.0214605,ORorBETA
40312,15597,0.0206963,ORorBETA
40312,21457,0.01962,ORorBETA
40312,21458,0.0159832,ORorBETA
40312,21459,0.058179,ORorBETA
40312,21460,0.0185127,ORorBETA
40312,21461,0.0280938,ORorBETA
40312,21462,0.0255848,ORorBETA
40312,21463,0.0299448,ORorBETA
40312,21464,0.0275644,ORorBETA
40312,21465,0.023416,ORorBETA
40312,21466,0.0164875,ORorBETA
40312,21467,0.0189406,ORorBETA
40312,21469,0.0601547,ORorBETA
