FromID,ToID,Relation_type
29011,6623,ORorBETA
29012,6641,ORorBETA
29013,6642,ORorBETA
29013,6643,ORorBETA
29013,6644,ORorBETA
29014,6645,ORorBETA
29015,6652,ORorBETA
29015,6653,ORorBETA
29018,6669,ORorBETA
29019,6671,ORorBETA
29034,6750,ORorBETA
29034,6752,ORorBETA
29045,6808,ORorBETA
29045,6812,ORorBETA
29045,6813,ORorBETA
29045,6814,ORorBETA
29045,6816,ORorBETA
29038,6825,ORorBETA
29038,6826,ORorBETA
29051,6849,ORorBETA
29055,6872,ORorBETA
29055,6874,ORorBETA
29055,6876,ORorBETA
29083,7000,ORorBETA
29092,7026,ORorBETA
29098,7031,ORorBETA
29098,7033,ORorBETA
29098,7035,ORorBETA
29098,7037,ORorBETA
29098,7039,ORorBETA
29098,7041,ORorBETA
29098,7042,ORorBETA
29098,7043,ORorBETA
29098,7044,ORorBETA
29098,7046,ORorBETA
29098,7047,ORorBETA
29098,7048,ORorBETA
29098,7049,ORorBETA
29098,7050,ORorBETA
29110,7101,ORorBETA
29092,7153,ORorBETA
29130,7176,ORorBETA
29130,7177,ORorBETA
29131,7180,ORorBETA
29134,7184,ORorBETA
29136,7219,ORorBETA
29136,7220,ORorBETA
29136,7221,ORorBETA
29136,7222,ORorBETA
29136,7224,ORorBETA
29136,7225,ORorBETA
29136,7227,ORorBETA
29136,7228,ORorBETA
29136,7229,ORorBETA
29136,7230,ORorBETA
29136,7232,ORorBETA
29136,7233,ORorBETA
29136,7234,ORorBETA
29136,7236,ORorBETA
29142,7277,ORorBETA
29142,7279,ORorBETA
29142,7280,ORorBETA
29142,7282,ORorBETA
29142,7283,ORorBETA
29142,7285,ORorBETA
29142,7287,ORorBETA
29143,7288,ORorBETA
29143,7290,ORorBETA
29144,7291,ORorBETA
29145,7293,ORorBETA
29148,7304,ORorBETA
29148,7305,ORorBETA
29152,7339,ORorBETA
29156,7349,ORorBETA
29156,7351,ORorBETA
29160,7363,ORorBETA
29162,7372,ORorBETA
29176,7399,ORorBETA
29179,7415,ORorBETA
29179,7416,ORorBETA
29180,7415,ORorBETA
29180,7417,ORorBETA
29182,7420,ORorBETA
29183,7422,ORorBETA
29183,7424,ORorBETA
29186,7433,ORorBETA
29186,7434,ORorBETA
29186,7435,ORorBETA
29186,7436,ORorBETA
29186,7437,ORorBETA
29186,7438,ORorBETA
29186,7440,ORorBETA
29199,7505,ORorBETA
29203,7514,ORorBETA
29203,7515,ORorBETA
29211,7528,ORorBETA
29213,7534,ORorBETA
29213,7535,ORorBETA
29213,7536,ORorBETA
29213,7537,ORorBETA
29216,7549,ORorBETA
29237,7649,ORorBETA
29237,7650,ORorBETA
29239,7651,ORorBETA
29242,7660,ORorBETA
29243,6705,ORorBETA
29243,7666,ORorBETA
29244,7668,ORorBETA
29244,7669,ORorBETA
29245,7670,ORorBETA
29245,7671,ORorBETA
29245,7672,ORorBETA
29247,7675,ORorBETA
29253,7684,ORorBETA
29253,7685,ORorBETA
29253,7686,ORorBETA
29253,7687,ORorBETA
29253,7688,ORorBETA
29253,7689,ORorBETA
29253,7690,ORorBETA
29253,7691,ORorBETA
29253,7692,ORorBETA
29253,7693,ORorBETA
29253,7694,ORorBETA
29253,7695,ORorBETA
29253,7696,ORorBETA
29253,7697,ORorBETA
29253,7698,ORorBETA
29253,7699,ORorBETA
29253,7704,ORorBETA
29253,7705,ORorBETA
29258,7724,ORorBETA
29259,7725,ORorBETA
29260,7735,ORorBETA
29260,7736,ORorBETA
29260,7737,ORorBETA
29260,7738,ORorBETA
29260,7739,ORorBETA
29260,7740,ORorBETA
29262,7743,ORorBETA
29271,7769,ORorBETA
29280,7853,ORorBETA
29282,7873,ORorBETA
29282,7874,ORorBETA
29282,7881,ORorBETA
29287,7415,ORorBETA
29287,7889,ORorBETA
29287,7890,ORorBETA
29287,7891,ORorBETA
29297,7933,ORorBETA
29298,7934,ORorBETA
29305,7963,ORorBETA
29305,6591,ORorBETA
29305,7965,ORorBETA
29306,7966,ORorBETA
29306,7967,ORorBETA
29307,7968,ORorBETA
29307,7969,ORorBETA
29307,7967,ORorBETA
29305,7972,ORorBETA
29309,7973,ORorBETA
29305,7974,ORorBETA
29309,7975,ORorBETA
29279,7976,ORorBETA
29279,7977,ORorBETA
29279,7520,ORorBETA
29279,7979,ORorBETA
29279,7980,ORorBETA
29310,7983,ORorBETA
29299,7984,ORorBETA
29311,7985,ORorBETA
29311,7979,ORorBETA
29311,7977,ORorBETA
29299,7977,ORorBETA
29299,7981,ORorBETA
29299,7988,ORorBETA
29299,7520,ORorBETA
29299,7985,ORorBETA
29299,7989,ORorBETA
29299,7979,ORorBETA
29321,8021,ORorBETA
29321,8022,ORorBETA
29321,8023,ORorBETA
29321,8024,ORorBETA
29321,8025,ORorBETA
29321,8026,ORorBETA
29321,8027,ORorBETA
29321,8028,ORorBETA
29321,8029,ORorBETA
29321,8030,ORorBETA
29321,8031,ORorBETA
29321,8032,ORorBETA
29321,8033,ORorBETA
29321,8034,ORorBETA
29321,8035,ORorBETA
29321,8036,ORorBETA
29321,8037,ORorBETA
29321,8038,ORorBETA
29321,8039,ORorBETA
29321,8040,ORorBETA
29321,8073,ORorBETA
29321,8074,ORorBETA
29321,8075,ORorBETA
29321,8076,ORorBETA
29321,8077,ORorBETA
29321,8078,ORorBETA
29321,8079,ORorBETA
29321,8080,ORorBETA
29321,8081,ORorBETA
29321,8082,ORorBETA
29321,8083,ORorBETA
29321,8084,ORorBETA
29321,8085,ORorBETA
29321,8086,ORorBETA
29321,8087,ORorBETA
29321,8088,ORorBETA
29321,8089,ORorBETA
29321,8090,ORorBETA
29321,8091,ORorBETA
29321,8092,ORorBETA
29321,8093,ORorBETA
29321,8094,ORorBETA
29321,8095,ORorBETA
29321,8096,ORorBETA
29321,8097,ORorBETA
29321,8098,ORorBETA
29322,8101,ORorBETA
29324,8104,ORorBETA
29327,8138,ORorBETA
29327,8139,ORorBETA
29327,8140,ORorBETA
29327,8141,ORorBETA
29327,8142,ORorBETA
29327,8143,ORorBETA
29327,8144,ORorBETA
29327,7543,ORorBETA
29327,8146,ORorBETA
29327,8147,ORorBETA
29310,7981,ORorBETA
29310,8148,ORorBETA
29310,7989,ORorBETA
29310,7979,ORorBETA
29328,6951,ORorBETA
