FromID,ToID,Relation_type,FromType,ToType
16027,16028,ORorBETA,Phenotype,SNP
16038,16039,ORorBETA,Phenotype,SNP
16057,16058,ORorBETA,Phenotype,SNP
16059,16060,ORorBETA,Phenotype,SNP
16099,16100,ORorBETA,Phenotype,SNP
16109,16110,ORorBETA,Phenotype,SNP
16123,16124,ORorBETA,Phenotype,SNP
16127,16128,ORorBETA,Phenotype,SNP
16132,16133,ORorBETA,Phenotype,SNP
16151,16152,ORorBETA,Phenotype,SNP
16027,16185,ORorBETA,Phenotype,SNP
16109,16186,ORorBETA,Phenotype,SNP
16194,16195,ORorBETA,Phenotype,SNP
16057,16196,ORorBETA,Phenotype,SNP
16210,16211,ORorBETA,Phenotype,SNP
16234,16235,ORorBETA,Phenotype,SNP
16241,16242,ORorBETA,Phenotype,SNP
16027,16245,ORorBETA,Phenotype,SNP
16109,16254,ORorBETA,Phenotype,SNP
16271,16272,ORorBETA,Phenotype,SNP
16276,16277,ORorBETA,Phenotype,SNP
16123,16278,ORorBETA,Phenotype,SNP
16285,16286,ORorBETA,Phenotype,SNP
16109,16299,ORorBETA,Phenotype,SNP
16027,16300,ORorBETA,Phenotype,SNP
16316,16317,ORorBETA,Phenotype,SNP
16340,16341,ORorBETA,Phenotype,SNP
16234,16349,ORorBETA,Phenotype,SNP
16109,16365,ORorBETA,Phenotype,SNP
16369,16370,ORorBETA,Phenotype,SNP
16372,16373,ORorBETA,Phenotype,SNP
16385,16386,ORorBETA,Phenotype,SNP
16393,16394,ORorBETA,Phenotype,SNP
16421,16422,ORorBETA,Phenotype,SNP
16436,16437,ORorBETA,Phenotype,SNP
16438,16439,ORorBETA,Phenotype,SNP
16287,16445,ORorBETA,Phenotype,SNP
16463,16464,ORorBETA,Phenotype,SNP
16125,16472,ORorBETA,Phenotype,SNP
16109,16485,ORorBETA,Phenotype,SNP
16404,16499,ORorBETA,Phenotype,SNP
15999,16512,ORorBETA,Phenotype,SNP
68,16515,ORorBETA,Phenotype,SNP
16516,16517,ORorBETA,Phenotype,SNP
