FromID,ToID,Relation_type
6566,6567,VEP
6568,6569,VEP
6570,6571,VEP
6572,6573,VEP
6574,6575,VEP
6576,6577,VEP
6578,6579,VEP
6580,6581,VEP
6582,6583,VEP
6584,6585,VEP
6586,6587,VEP
6588,6589,VEP
6590,6591,VEP
6590,6592,VEP
4953,6593,VEP
6594,6595,VEP
6596,6597,VEP
6598,6599,VEP
6600,6601,VEP
6602,6603,VEP
6604,6605,VEP
3633,6606,VEP
6607,6608,VEP
6609,6610,VEP
1222,6611,VEP
6612,6613,VEP
6590,6614,VEP
6570,6615,VEP
6616,6617,VEP
6618,6619,VEP
6588,6620,VEP
6135,6621,VEP
6622,6623,VEP
6624,6625,VEP
6626,6627,VEP
6628,6629,VEP
6630,6631,VEP
6632,6633,VEP
6588,6634,VEP
6635,6636,VEP
6637,6638,VEP
4953,6639,VEP
6640,6641,VEP
6640,6642,VEP
6640,6643,VEP
6640,6644,VEP
6640,6645,VEP
6570,6646,VEP
6588,6647,VEP
6607,6648,VEP
6609,6649,VEP
6650,6601,VEP
6651,6652,VEP
6622,6653,VEP
6654,6655,VEP
6656,6657,VEP
6586,6658,VEP
6659,6660,VEP
6661,6662,VEP
6663,6662,VEP
4124,6664,VEP
6665,6666,VEP
6640,6667,VEP
6640,6668,VEP
6640,6669,VEP
6670,6671,VEP
6504,6671,VEP
6672,6671,VEP
6673,6671,VEP
6674,6675,VEP
6574,6675,VEP
6676,6675,VEP
6640,6677,VEP
6640,6678,VEP
6640,6679,VEP
6640,6680,VEP
6640,6681,VEP
6640,6682,VEP
6640,6683,VEP
6684,6685,VEP
6686,6687,VEP
6688,6689,VEP
6690,6691,VEP
6692,6693,VEP
6694,6695,VEP
6696,6697,VEP
6698,6699,VEP
6700,6701,VEP
6702,6703,VEP
6704,6705,VEP
6706,6705,VEP
6707,6708,VEP
6698,6709,VEP
6710,6711,VEP
6712,6711,VEP
6713,6714,VEP
6715,6716,VEP
6717,6716,VEP
6672,6718,VEP
6706,6718,VEP
6706,6719,VEP
6672,6719,VEP
6704,6719,VEP
6720,6719,VEP
6712,6721,VEP
6710,6721,VEP
6640,6722,VEP
6640,6723,VEP
6640,6724,VEP
6640,6725,VEP
6640,6726,VEP
6640,6727,VEP
6640,6728,VEP
6640,6729,VEP
6640,6730,VEP
6640,6731,VEP
6640,6732,VEP
6640,6733,VEP
6640,6734,VEP
6640,6735,VEP
6676,6736,VEP
6737,6738,VEP
4953,6739,VEP
6740,6741,VEP
6742,6743,VEP
6744,6743,VEP
6745,6746,VEP
6747,6746,VEP
6748,6746,VEP
6692,6746,VEP
6749,6750,VEP
6751,6752,VEP
6753,6752,VEP
6754,6755,VEP
6756,6757,VEP
6758,6759,VEP
6758,6760,VEP
6761,6762,VEP
6763,6764,VEP
6765,6766,VEP
6767,6768,VEP
6706,6769,VEP
6672,6770,VEP
6672,6771,VEP
6772,6773,VEP
6504,6774,VEP
6692,6775,VEP
6720,6775,VEP
6748,6775,VEP
6776,6777,VEP
6720,6778,VEP
6776,6779,VEP
6622,6780,VEP
6622,6781,VEP
6640,6782,VEP
6640,6783,VEP
6640,6784,VEP
6640,6785,VEP
6640,6786,VEP
6640,6787,VEP
6640,6788,VEP
6640,6789,VEP
683,6790,VEP
683,6791,VEP
683,6792,VEP
683,6793,VEP
6698,6794,VEP
6795,6796,VEP
6797,6798,VEP
6799,6800,VEP
6799,6801,VEP
6504,6802,VEP
6706,6803,VEP
6804,6805,VEP
6804,6806,VEP
6807,6808,VEP
6809,6808,VEP
6810,6808,VEP
6811,6812,VEP
683,6813,VEP
3806,6814,VEP
6815,6816,VEP
6817,6818,VEP
6576,6819,VEP
6707,6820,VEP
6821,6822,VEP
6823,6824,VEP
6704,6825,VEP
6704,6826,VEP
6827,6828,VEP
6829,6830,VEP
6831,6830,VEP
6832,6833,VEP
6834,6833,VEP
6835,6836,VEP
6837,6838,VEP
6839,6838,VEP
6840,6841,VEP
6842,6841,VEP
6843,6844,VEP
6845,6844,VEP
6846,6847,VEP
6848,6849,VEP
6850,6851,VEP
6852,6851,VEP
683,6851,VEP
6853,6851,VEP
6640,6854,VEP
6855,6856,VEP
6857,6858,VEP
6859,6858,VEP
6860,6861,VEP
6862,6863,VEP
6857,6863,VEP
6859,6863,VEP
6864,6865,VEP
6866,6865,VEP
6772,6865,VEP
6867,6865,VEP
6747,6868,VEP
6869,6870,VEP
6871,6872,VEP
6873,6874,VEP
6875,6876,VEP
6590,6877,VEP
6712,6878,VEP
6713,6879,VEP
6713,6880,VEP
6622,6881,VEP
6882,6883,VEP
6884,6883,VEP
6885,6886,VEP
6887,6886,VEP
6767,6888,VEP
6889,6890,VEP
2353,6890,VEP
6869,6891,VEP
6772,6891,VEP
6892,6891,VEP
6893,6894,VEP
6895,6894,VEP
6896,6894,VEP
6897,6898,VEP
6899,6898,VEP
6900,6898,VEP
6901,6898,VEP
6902,6898,VEP
6737,6903,VEP
6904,6905,VEP
6704,6906,VEP
6745,6906,VEP
6747,6906,VEP
354,6907,VEP
6908,6909,VEP
6910,6909,VEP
6911,6912,VEP
6748,6913,VEP
6747,6913,VEP
6902,6914,VEP
6900,6915,VEP
6897,6915,VEP
6866,6915,VEP
6899,6915,VEP
6916,6915,VEP
6917,6918,VEP
6919,6918,VEP
6748,6920,VEP
6795,6920,VEP
6747,6920,VEP
593,6921,VEP
590,6922,VEP
6827,6922,VEP
590,6923,VEP
6640,6924,VEP
6925,6926,VEP
154,6927,VEP
6928,6929,VEP
6586,6930,VEP
6931,6932,VEP
6622,6933,VEP
6934,6935,VEP
1755,6936,VEP
6622,6937,VEP
6938,6939,VEP
6940,6941,VEP
6942,6943,VEP
6928,6944,VEP
6945,6944,VEP
6928,6946,VEP
6945,6946,VEP
6928,6947,VEP
6945,6947,VEP
6928,6948,VEP
6945,6948,VEP
6928,6949,VEP
6945,6949,VEP
6950,6951,VEP
6952,6951,VEP
6953,6954,VEP
6955,6956,VEP
6957,6958,VEP
6959,6960,VEP
6961,6960,VEP
6940,6962,VEP
6963,6962,VEP
6964,6965,VEP
6372,6965,VEP
6966,6967,VEP
6968,6967,VEP
6622,6969,VEP
6970,6971,VEP
6772,6972,VEP
6672,6972,VEP
6745,6973,VEP
6747,6973,VEP
6650,6974,VEP
6975,6976,VEP
6977,6978,VEP
6979,6980,VEP
6981,6982,VEP
6795,6983,VEP
6984,6983,VEP
6737,6983,VEP
6745,6983,VEP
6747,6983,VEP
6795,6985,VEP
6984,6985,VEP
6737,6985,VEP
6745,6985,VEP
6747,6985,VEP
6696,6986,VEP
6987,6986,VEP
1514,6986,VEP
6988,6986,VEP
6989,6986,VEP
6990,6991,VEP
6992,6991,VEP
6776,6991,VEP
6993,6991,VEP
6994,6995,VEP
1515,6996,VEP
6622,6997,VEP
6998,6999,VEP
1705,7000,VEP
7001,7000,VEP
3410,7002,VEP
6607,7002,VEP
6640,7003,VEP
6990,7004,VEP
7005,7006,VEP
6919,7007,VEP
7008,7009,VEP
7010,7011,VEP
7012,7013,VEP
7014,7015,VEP
7016,7017,VEP
6698,7018,VEP
6622,7019,VEP
6622,7020,VEP
6622,7021,VEP
683,7022,VEP
6852,7022,VEP
7023,7022,VEP
6622,7024,VEP
7025,7026,VEP
6950,7027,VEP
6795,7028,VEP
6984,7028,VEP
6745,7029,VEP
6747,7029,VEP
7030,7031,VEP
7032,7031,VEP
7030,7033,VEP
7032,7033,VEP
7034,7035,VEP
7036,7035,VEP
7034,7037,VEP
7036,7037,VEP
7038,7039,VEP
7040,7039,VEP
7038,7041,VEP
7040,7041,VEP
369,7042,VEP
6815,7042,VEP
369,7043,VEP
6815,7043,VEP
6670,7044,VEP
7045,7044,VEP
6670,7046,VEP
7045,7046,VEP
4633,7047,VEP
6672,7047,VEP
4633,7048,VEP
6672,7048,VEP
6672,7049,VEP
6672,7050,VEP
7051,7052,VEP
7053,7054,VEP
7055,7056,VEP
1316,7057,VEP
6640,7058,VEP
6640,7059,VEP
6640,7060,VEP
6640,7061,VEP
6640,7062,VEP
6640,7063,VEP
6640,7064,VEP
6622,7065,VEP
6622,7066,VEP
7067,7068,VEP
7069,7070,VEP
6748,7071,VEP
6747,7071,VEP
7072,7073,VEP
6772,7074,VEP
6706,7074,VEP
6672,7074,VEP
6867,7074,VEP
6607,7075,VEP
6588,7076,VEP
6698,7077,VEP
7078,7079,VEP
7080,7081,VEP
7082,7081,VEP
7083,7081,VEP
7084,7081,VEP
7085,7081,VEP
7086,7081,VEP
7087,7081,VEP
7088,7081,VEP
7089,7081,VEP
3814,7081,VEP
7090,7081,VEP
7091,7081,VEP
7092,7081,VEP
7093,7081,VEP
7094,7081,VEP
7095,7081,VEP
7096,7081,VEP
7097,7098,VEP
6707,7099,VEP
7100,7101,VEP
7102,7103,VEP
6795,7104,VEP
6640,7104,VEP
6957,7105,VEP
7106,7105,VEP
6704,7107,VEP
7108,7109,VEP
6900,7110,VEP
6902,7111,VEP
7108,7112,VEP
6706,7113,VEP
39,7114,VEP
6748,7115,VEP
7116,7117,VEP
7118,7119,VEP
7120,7121,VEP
6706,7122,VEP
7123,7124,VEP
7125,7126,VEP
6640,7127,VEP
6640,7128,VEP
6640,7129,VEP
6640,7130,VEP
7131,7132,VEP
6622,7133,VEP
7134,7135,VEP
6640,7136,VEP
6640,7137,VEP
7138,7139,VEP
6640,7140,VEP
6640,7141,VEP
6925,7142,VEP
6640,7143,VEP
6640,7144,VEP
6640,7145,VEP
6957,7146,VEP
7106,7146,VEP
7147,7148,VEP
7149,7148,VEP
6707,7150,VEP
6945,7151,VEP
6754,7152,VEP
7147,7153,VEP
6846,7154,VEP
7155,7154,VEP
6676,7156,VEP
7157,7158,VEP
6902,7159,VEP
6795,7159,VEP
6737,7159,VEP
7147,7160,VEP
6672,7161,VEP
6640,7162,VEP
7163,7104,VEP
7164,7104,VEP
7165,7166,VEP
6622,7167,VEP
7168,7169,VEP
3410,7170,VEP
6754,7171,VEP
6754,7172,VEP
7173,7174,VEP
7175,7176,VEP
6765,7177,VEP
7178,7177,VEP
7179,7177,VEP
7036,7180,VEP
7181,7182,VEP
6622,7183,VEP
6737,7184,VEP
7185,7186,VEP
7187,7186,VEP
7188,7189,VEP
