FromID,ToID,Relation_type,FromType,ToType
14135,15975,VEP,Gene,SNP
498350,15976,VEP,Gene,SNP
498351,15977,VEP,Gene,SNP
5907,15978,VEP,Gene,SNP
498352,15979,VEP,Gene,SNP
13197,15980,VEP,Gene,SNP
13928,15981,VEP,Gene,SNP
5431,15982,VEP,Gene,SNP
498353,15983,VEP,Gene,SNP
5624,15984,VEP,Gene,SNP
498354,15985,VEP,Gene,SNP
498355,15987,VEP,Gene,SNP
4159,15988,VEP,Gene,SNP
4159,15990,VEP,Gene,SNP
496887,15991,VEP,Gene,SNP
6091,15992,VEP,Gene,SNP
11412,15993,VEP,Gene,SNP
498356,15994,VEP,Gene,SNP
498357,15995,VEP,Gene,SNP
498358,15996,VEP,Gene,SNP
11801,15997,VEP,Gene,SNP
8180,15998,VEP,Gene,SNP
11182,16000,VEP,Gene,SNP
498359,16001,VEP,Gene,SNP
493917,16002,VEP,Gene,SNP
498360,16003,VEP,Gene,SNP
4159,16004,VEP,Gene,SNP
498351,16005,VEP,Gene,SNP
498361,16006,VEP,Gene,SNP
14606,16007,VEP,Gene,SNP
498355,16008,VEP,Gene,SNP
8869,16009,VEP,Gene,SNP
498362,16011,VEP,Gene,SNP
4368,16012,VEP,Gene,SNP
498363,16013,VEP,Gene,SNP
13500,16014,VEP,Gene,SNP
15508,16015,VEP,Gene,SNP
11855,16016,VEP,Gene,SNP
498355,16017,VEP,Gene,SNP
3197,16018,VEP,Gene,SNP
498364,16019,VEP,Gene,SNP
496887,16020,VEP,Gene,SNP
498365,16022,VEP,Gene,SNP
498365,16024,VEP,Gene,SNP
498365,16025,VEP,Gene,SNP
498365,16026,VEP,Gene,SNP
498365,16028,VEP,Gene,SNP
498351,16029,VEP,Gene,SNP
498355,16030,VEP,Gene,SNP
11182,16031,VEP,Gene,SNP
498359,16032,VEP,Gene,SNP
498366,15995,VEP,Gene,SNP
4163,16034,VEP,Gene,SNP
498362,16035,VEP,Gene,SNP
498367,16036,VEP,Gene,SNP
6286,16037,VEP,Gene,SNP
498354,16039,VEP,Gene,SNP
9716,16040,VEP,Gene,SNP
498368,16041,VEP,Gene,SNP
498369,16041,VEP,Gene,SNP
7840,16042,VEP,Gene,SNP
498370,16043,VEP,Gene,SNP
498365,16045,VEP,Gene,SNP
498365,16046,VEP,Gene,SNP
498365,16048,VEP,Gene,SNP
498371,16050,VEP,Gene,SNP
3178,16050,VEP,Gene,SNP
3182,16050,VEP,Gene,SNP
498372,16050,VEP,Gene,SNP
11500,16052,VEP,Gene,SNP
498352,16052,VEP,Gene,SNP
12070,16052,VEP,Gene,SNP
498365,16053,VEP,Gene,SNP
498365,16054,VEP,Gene,SNP
498365,16055,VEP,Gene,SNP
498365,16056,VEP,Gene,SNP
498365,16057,VEP,Gene,SNP
498365,16058,VEP,Gene,SNP
