FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
1,2,-0.48345576488383,lm_estimate,AMSC,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
3,4,-0.605042285500692,lm_estimate,AMSC,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
5,6,0.582431817377204,lm_estimate,AMSC,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
7,8,-0.54476847520173,lm_estimate,AMSC-BODIPYNeg,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
9,10,0.334563790657717,lm_estimate,AMSC-BODIPYNeg,D03,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
11,12,-0.250836712032595,lm_estimate,AMSC,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
13,14,-0.229339585909851,lm_estimate,AMSC-BODIPYNeg,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
15,16,0.261391767736783,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
17,18,0.489008174778998,lm_estimate,AMSC-BODIPYNeg,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
19,10,-0.36649077828756,lm_estimate,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
20,21,0.500413471173169,lm_estimate,AMSC,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
22,21,-0.485943126046519,lm_estimate,AMSC,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
23,4,0.389768342342832,lm_estimate,AMSC,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
24,16,-0.242996298131761,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
13,25,-0.258225248538578,lm_estimate,AMSC-BODIPYPos,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
26,16,-0.440935472982011,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
27,16,-0.479745939040407,lm_estimate,AMSC,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
28,10,0.55207142218812,lm_estimate,AMSC-BODIPYNeg,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
29,16,0.227501038023667,lm_estimate,AMSC-BODIPYNeg,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
30,10,0.364433364781475,lm_estimate,AMSC-BODIPYNeg,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
31,32,0.296527294010229,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
33,34,0.567443697850156,lm_estimate,AMSC,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
35,34,-0.325370251326404,lm_estimate,AMSC-BODIPYNeg,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
36,10,0.427426755867934,lm_estimate,AMSC-BODIPYNeg,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
37,38,-0.208303573366745,lm_estimate,AMSC-BODIPYNeg,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
39,40,0.401874780050929,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
41,38,-0.206465468630894,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
42,43,-0.482550061121268,lm_estimate,AMSC,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
44,34,0.553633676237498,lm_estimate,AMSC,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
