FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
1,2,-0.165788184617767,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
3,4,0.257787965615983,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
5,6,0.201708223314909,lm_estimate,AMSC-BODIPYPos,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
7,8,0.528378838008149,lm_estimate,AMSC-BODIPYPos,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
9,10,-0.562136485671704,lm_estimate,AMSC-BODIPYNeg,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
11,12,0.315671312526157,lm_estimate,AMSC-BODIPYNeg,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
13,14,-0.321171174217125,lm_estimate,AMSC-BODIPYPos,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
7,15,-0.307149056013421,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
16,17,0.27792676836069,lm_estimate,AMSC-BODIPYNeg,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
18,2,-0.417650113044543,lm_estimate,AMSC-BODIPYPos,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
19,4,-0.204271628230051,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
11,20,0.229222780867399,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
16,2,-0.327414386619954,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
9,21,-0.418462935958325,lm_estimate,AMSC,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
22,23,0.533563971472347,lm_estimate,AMSC,D03,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
24,25,0.281530524617359,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
26,15,-0.549785696772094,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
27,2,-0.327414386619954,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
28,12,0.27065261757515,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
29,30,0.261994764436711,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
31,17,0.175072186749734,lm_estimate,AMSC,D03,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
32,33,0.24082362658706,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
11,6,0.256638037883218,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
34,30,0.217280795430856,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
35,36,-0.576326699188014,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
37,2,-0.417650113044543,lm_estimate,AMSC-BODIPYPos,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
7,30,-0.321712023721515,lm_estimate,AMSC-BODIPYPos,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
38,36,-0.592610417308437,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
39,10,0.43666474132322,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
40,6,0.266204018940055,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
41,6,0.228221879135737,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
1,2,0.28605051874109,lm_estimate,AMSC-BODIPYNeg,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
29,2,-0.311644856167736,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
42,25,0.562149965493391,lm_estimate,AMSC-BODIPYPos,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
43,12,0.35835721623557,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
40,17,0.264873374289361,lm_estimate,AMSC-BODIPYNeg,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
32,4,0.245248083210914,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
44,15,0.223733813906852,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
45,23,-0.358221925761915,lm_estimate,AMSC,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
46,6,-0.217276579612625,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
47,2,0.304762234685909,lm_estimate,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
48,23,-0.368937671491557,lm_estimate,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
49,2,0.278578998400539,lm_estimate,AMSC-BODIPYNeg,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
50,6,0.176226191179512,lm_estimate,AMSC-BODIPYPos,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
42,33,0.30094313782569,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
3,2,-0.214592565074368,lm_estimate,AMSC-BODIPYNeg,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
24,2,0.366505287701112,lm_estimate,AMSC,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
50,23,0.398405790987691,lm_estimate,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
51,15,-0.285351337714622,lm_estimate,AMSC-BODIPYNeg,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
52,15,0.334529042196451,lm_estimate,AMSC,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
53,25,-0.548481023527213,lm_estimate,AMSC-BODIPYPos,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
37,6,-0.232643852735996,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
54,2,-0.31188314311635,lm_estimate,AMSC,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
55,12,0.246918436656471,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
13,56,0.650860748631506,lm_estimate,AMSC,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
52,15,0.332512032070518,lm_estimate,AMSC-BODIPYNeg,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
37,17,0.349526956587672,lm_estimate,AMSC,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
57,12,0.195383535499264,lm_estimate,AMSC-BODIPYNeg,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
44,58,0.225297310153656,lm_estimate,AMSC-BODIPYPos,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
55,20,0.213831804160529,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
52,58,0.292265482183586,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
22,4,-0.321552701731616,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
59,2,-0.165788184617767,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
22,62,-0.266711030436281,lm_estimate,AMSC-BODIPYNeg,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
38,63,-0.69794491467791,lm_estimate,AMSC-BODIPYNeg,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
64,12,0.222375680057343,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
55,10,0.526826806635831,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
44,4,0.25836683283382,lm_estimate,AMSC-BODIPYNeg,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
65,12,0.243438845309892,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
49,12,0.315671312526157,lm_estimate,AMSC-BODIPYNeg,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
29,2,0.278578998400539,lm_estimate,AMSC-BODIPYNeg,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
53,66,-0.260354300757254,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
27,4,0.276732097486904,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
67,6,-0.232643852735996,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
38,58,0.230741869385201,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
45,15,0.340779368793,lm_estimate,AMSC,D03,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
68,6,0.284965913544749,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
69,17,0.278371120253167,lm_estimate,AMSC-BODIPYPos,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
34,2,-0.235959571292866,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
70,4,0.224026766128433,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
16,12,0.277452357412296,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
7,62,-0.248911535866146,lm_estimate,AMSC-BODIPYNeg,D03,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
71,17,0.197019650763552,lm_estimate,AMSC,D03,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
55,17,0.27870084938628,lm_estimate,AMSC,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
72,12,0.28498621694713,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
22,12,-0.22543013962321,lm_estimate,AMSC-BODIPYNeg,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
73,4,0.238745184951969,lm_estimate,AMSC-BODIPYNeg,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
68,4,0.257787965615983,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
26,15,-0.371726306014978,lm_estimate,AMSC-BODIPYPos,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
7,4,-0.472944135979854,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
72,17,0.27792676836069,lm_estimate,AMSC-BODIPYNeg,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
51,23,0.390387396430224,lm_estimate,AMSC,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
35,4,0.188770720468279,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
28,23,-0.386506550728819,lm_estimate,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
71,2,0.394895826882457,lm_estimate,AMSC-BODIPYNeg,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
48,33,0.30094313782569,lm_estimate,AMSC-BODIPYPos,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
74,2,-0.169004994931854,lm_estimate,AMSC-BODIPYNeg,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
57,20,0.225553591783541,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
67,17,0.349526956587672,lm_estimate,AMSC,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
75,76,-0.48912478896777,lm_estimate,AMSC,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
77,15,-0.440935472982011,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
78,23,0.467789211509377,lm_estimate,AMSC,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
79,15,-0.391927461306669,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
80,2,0.239615207355744,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
81,15,0.199017517902052,lm_estimate,AMSC-BODIPYPos,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
83,10,-0.535085883655194,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
84,66,0.580513392917046,lm_estimate,AMSC,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
85,23,-0.387912858797944,lm_estimate,AMSC-BODIPYNeg,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
86,2,0.502197560309736,lm_estimate,AMSC,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
87,2,-0.20950611639968,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
88,2,-0.286122027549479,lm_estimate,AMSC-BODIPYNeg,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
85,2,-0.426966727732414,lm_estimate,AMSC-BODIPYNeg,D03,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
89,10,-0.713172316655224,lm_estimate,AMSC-BODIPYPos,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
90,15,-0.412313735695395,lm_estimate,AMSC-BODIPYNeg,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
91,17,-0.271497599593175,lm_estimate,AMSC,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
92,15,0.286954041344006,lm_estimate,AMSC-BODIPYNeg,D00,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
93,33,-0.548910471918893,lm_estimate,AMSC,D00,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
94,4,-0.46777147091451,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
88,95,-0.306345016642065,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
96,15,-0.557355118554375,lm_estimate,AMSC,D14,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
97,10,-0.713172316655224,lm_estimate,AMSC-BODIPYPos,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
98,2,-0.424114925394403,lm_estimate,AMSC,D03,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
99,2,0.157663195893035,lm_estimate,AMSC-BODIPYNeg,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
100,76,-0.494344279735605,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
101,6,0.161985957178797,lm_estimate,AMSC,D14,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
102,2,0.246459790481767,lm_estimate,AMSC-BODIPYNeg,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
83,17,-0.284601988510096,lm_estimate,AMSC-BODIPYNeg,D03,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
103,95,-0.306658648993627,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
104,105,0.540304562698832,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
106,6,0.366584957242067,lm_estimate,AMSC,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
96,15,0.207236558098184,lm_estimate,AMSC,D03,sc,FFA,LipocyteProfiler_Feature,Phenotype
107,108,-0.228254039138581,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
109,2,-0.620706621487742,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
110,66,0.436506431108227,lm_estimate,AMSC-BODIPYNeg,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
111,15,-0.302695591949188,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
112,56,-0.436146379301615,lm_estimate,AMSC-BODIPYNeg,D08,vc,FFA,LipocyteProfiler_Feature,Phenotype
113,2,0.237077948545871,lm_estimate,AMSC,D08,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
114,6,0.410088698159987,lm_estimate,AMSC,D03,vc,FFA,LipocyteProfiler_Feature,Phenotype
115,76,-0.402478458465779,lm_estimate,AMSC-BODIPYPos,D14,vc,FFA,LipocyteProfiler_Feature,Phenotype
116,20,0.255922460267338,lm_estimate,AMSC-BODIPYNeg,D03,sc,nonFFA,LipocyteProfiler_Feature,Phenotype
117,15,-0.23944163029759,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
118,15,-0.23944163029759,lm_estimate,AMSC,D08,sc,FFA,LipocyteProfiler_Feature,Phenotype
119,15,-0.227893688253535,lm_estimate,AMSC,D14,sc,FFA,LipocyteProfiler_Feature,Phenotype
