FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
2031,2342,1.2129249263903,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1921,2342,1.21247962102775,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1932,2342,1.21247962102775,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1946,2342,1.21247962102775,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1914,2342,1.21247962102775,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1861,2342,1.21247962102775,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1886,2342,1.21247962102775,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1880,2342,1.21247962102775,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
17,2342,1.16196377987681,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
16,2342,1.16196377987681,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
2275,2342,1.14793432588278,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1862,2342,1.14793432588278,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1876,2342,1.14793432588278,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1874,2342,1.14793432588278,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
873,2342,1.14546110020383,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1712,2342,1.1234692575504,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
183,2342,1.1234692575504,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1335,2342,1.05613441215338,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
2032,2342,1.04776215880204,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
18,2342,1.03965117981176,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1339,2342,1.03237356740508,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
2200,2342,1.03237356740508,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
2199,2342,1.03237356740508,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1161,2342,1.02728328000754,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1162,2342,1.02728328000754,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1163,2342,1.02728328000754,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
946,2342,1.00704929823992,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
173,2333,0.990225397989587,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
567,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
581,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
599,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1967,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
579,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1974,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
612,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
608,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1977,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
593,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1963,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
2007,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
605,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1969,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
597,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
609,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
587,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1978,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
2010,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
598,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
586,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1979,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
569,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1966,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1976,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1975,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
564,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
613,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
583,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
585,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
600,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
561,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
601,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
580,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1962,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
606,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
2012,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
590,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
582,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
1971,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
2013,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
596,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
618,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
615,2326,0.981255031740505,lm_estimate,AMSC-BODIPYPos,D08,vc,nonFFA,LipocyteProfiler_Feature,Phenotype
