FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
550,23,-0.3420770071456243,logFC,ADI,D14,sc,FFA,Gene,Phenotype
551,33,0.2186223110581698,logFC,ADI,D14,sc,FFA,Gene,Phenotype
552,2,-0.2427096388322602,logFC,ADI,D14,sc,FFA,Gene,Phenotype
553,15,0.0672849985979116,logFC,AMSCQ,D00,sc,nonFFA,Gene,Phenotype
554,6,-0.274417616709083,logFC,SWAT,D14,sc,nonFFA,Gene,Phenotype
555,23,-0.2829441404367599,logFC,SWAT,D14,sc,FFA,Gene,Phenotype
556,2,-0.3466017608501898,logFC,SWAT,D14,sc,nonFFA,Gene,Phenotype
557,105,0.269519866218156,logFC,SWAT,D14,sc,FFA,Gene,Phenotype
558,58,0.2953692758257209,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
559,15,-0.2159970589766914,logFC,ADI,D14,sc,FFA,Gene,Phenotype
560,278,-0.280889254787911,logFC,SWAT,D14,sc,nonFFA,Gene,Phenotype
561,2,-0.2768713990637291,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
562,63,-0.2919450629051724,logFC,SWAT,D14,sc,FFA,Gene,Phenotype
563,76,-0.5757914540574561,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
564,2,0.2957595758811498,logFC,SWAT,D14,sc,nonFFA,Gene,Phenotype
565,2,-0.3745188245595426,logFC,ADI,D14,sc,nonFFA,Gene,Phenotype
550,15,-0.2158103019083471,logFC,ADI,D14,sc,FFA,Gene,Phenotype
566,66,0.2904913819494289,logFC,ADI,D14,sc,nonFFA,Gene,Phenotype
567,76,-0.4427283360099351,logFC,ADI,D14,sc,FFA,Gene,Phenotype
568,15,-0.1300649061412842,logFC,ADI,D14,sc,nonFFA,Gene,Phenotype
569,570,0.5925318845713926,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
571,25,-0.2683663512448605,logFC,SWAT,D14,sc,nonFFA,Gene,Phenotype
572,2,-0.5600114136116964,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
573,62,-0.0914198386803196,logFC,ADI,D14,sc,nonFFA,Gene,Phenotype
574,6,0.059669433221624,logFC,ADI,D14,sc,FFA,Gene,Phenotype
575,2,-0.6301239729046529,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
576,12,-0.3253033276271692,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
577,15,0.3129460556770198,logFC,SWAT,D14,sc,nonFFA,Gene,Phenotype
578,10,-0.1056343881396352,logFC,ADI,D14,sc,FFA,Gene,Phenotype
579,6,0.2870990333066065,logFC,AMSCQ,D00,sc,nonFFA,Gene,Phenotype
580,2,-0.3264491561369742,logFC,SWAT,D14,sc,nonFFA,Gene,Phenotype
581,2,-0.6373155169160897,logFC,AMSCQ,D00,sc,nonFFA,Gene,Phenotype
582,6,-0.2607078232922408,logFC,AMSCQ,D00,sc,nonFFA,Gene,Phenotype
