FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation
145,10,-0.2828316127210169,logFC,ADI,D14,sc,nonFFA
146,40,0.2969173358411962,logFC,ADI,D14,sc,nonFFA
147,2,0.2025462643434088,logFC,ADI,D14,sc,nonFFA
148,12,-0.2036010565810433,logFC,AMSCQ,D00,sc,nonFFA
149,34,0.2263720633175459,logFC,ADI,D14,sc,nonFFA
150,25,0.1675563766880338,logFC,ADI,D14,sc,nonFFA
151,34,-0.9996172344065436,logFC,AMSCQ,D00,sc,nonFFA
152,10,-0.10746562078534,logFC,ADI,D14,sc,FFA
153,10,-0.2355085746651181,logFC,ADI,D14,sc,nonFFA
154,25,0.5033575026474987,logFC,ADI,D14,sc,FFA
155,38,-0.0639521833577936,logFC,SWAT,D14,sc,nonFFA
156,38,-0.350467650170928,logFC,SWAT,D14,sc,nonFFA
157,10,-0.8524768884933066,logFC,AMSCP,D00,sc,nonFFA
158,48,0.2260192140963791,logFC,SWAT,D14,sc,FFA
159,107,0.31327852728367,logFC,ADI,D14,sc,FFA
160,161,0.0350567952346438,logFC,AMSCQ,D00,sc,nonFFA
162,113,-0.0658141871541985,logFC,ADI,D14,sc,FFA
163,34,0.6029686642138392,logFC,AMSCP,D00,sc,nonFFA
164,16,-0.3228865315874731,logFC,ADI,D14,sc,FFA
165,43,0.1463182709199553,logFC,ADI,D14,sc,nonFFA
166,54,1.0032383476086697,logFC,AMSCP,D00,sc,nonFFA
167,10,-0.0752526306915928,logFC,ADI,D14,sc,FFA
168,4,0.5545689012405264,logFC,SWAT,D14,sc,nonFFA
