FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,Relation_Context_Depot,Relation_Context_Stimulation,FromType,ToType
4421,22,3.234385202090512,logFC,ADI,D14,sc,nonFFA,Gene,Phenotype
6498,65,2.8805493482823983,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
3335,65,2.7565858699229664,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
12179,65,2.6635089524323368,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
8776,68,2.554403394455268,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
12053,1479,2.3969387115254985,logFC,SWAT,D14,sc,FFA,Gene,Phenotype
14687,65,2.3550218521177047,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
4209,65,2.346375289238491,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
15582,11899,2.3352873011612827,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
8619,1479,2.312491423325572,logFC,SWAT,D14,sc,nonFFA,Gene,Phenotype
5763,65,2.29002819779589,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
11820,11899,2.273520297891275,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
3707,65,2.257656815810288,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
9573,72,2.2441740406450594,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
3715,3595,2.1697719003504674,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
5096,1479,2.134070019468923,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
3502,11899,2.097433835365412,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
6544,5764,2.054728796156089,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
15603,12450,2.047193743799379,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
10266,1479,2.04611651215678,logFC,AMSCQ,D00,sc,nonFFA,Gene,Phenotype
2611,65,2.033093120974194,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
10541,11899,2.017278230319262,logFC,AMSCP,D00,sc,nonFFA,Gene,Phenotype
