FromID,ToID,Relation_type,Relation_Context_ClinicalPhase,Relation_Context_DiseaseArea,Relation_Context_Indication
648,649,MoA,Launched,dermatology,xerosis cutis|ichthyosis vulgaris
1169,1170,MoA,Launched,gastroenterology,pancreas diagnostic agent
441,1750,MoA,Launched,endocrinology,vitamin D deficiency
354,2807,MoA,Launched,endocrinology,contraceptive
460,2807,MoA,Launched,endocrinology,contraceptive
1545,2950,MoA,Launched,endocrinology,Addison's disease|adrenogenital syndrome
334,2962,MoA,Launched,ophthalmology,ophthalmology diagnostic
423,2964,MoA,Launched,ophthalmology,eye inflammation
3372,3373,MoA,Launched,rheumatology|urology,osteoarthritis|interstitial cystitis (IC)
3374,3373,MoA,Launched,rheumatology|urology,osteoarthritis|interstitial cystitis (IC)
3375,3373,MoA,Launched,rheumatology|urology,osteoarthritis|interstitial cystitis (IC)
3376,3373,MoA,Launched,rheumatology|urology,osteoarthritis|interstitial cystitis (IC)
3377,3373,MoA,Launched,rheumatology|urology,osteoarthritis|interstitial cystitis (IC)
3378,3373,MoA,Launched,rheumatology|urology,osteoarthritis|interstitial cystitis (IC)
3379,3373,MoA,Launched,rheumatology|urology,osteoarthritis|interstitial cystitis (IC)
1068,3373,MoA,Launched,rheumatology|urology,osteoarthritis|interstitial cystitis (IC)
3380,3373,MoA,Launched,rheumatology|urology,osteoarthritis|interstitial cystitis (IC)
3381,3373,MoA,Launched,rheumatology|urology,osteoarthritis|interstitial cystitis (IC)
3755,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
3757,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
3758,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
3759,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
1975,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
3760,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
3761,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
3762,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
1470,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
3740,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
211,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
3763,3756,MoA,Launched,rheumatology,osteoarthritis|rheumatoid arthritis
