FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay,FromType,ToType
1691,2343,-0.6714881544,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
1545,2343,0.6800421436,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
1179,2343,-0.6501031813,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
1190,2343,-0.6501031813,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
1822,2343,-0.620164219,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
1198,2343,-0.5945022513,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
1187,2343,-0.4961313752,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
2344,2343,-0.4833003914,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
2345,2343,-0.4747464021,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
833,2343,-0.4747464021,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
1193,2343,-0.4704694075,wilcox_effsize,hWAT,D00,LipocyteProfiler_Feature,Gene
2274,2343,-0.6458261867,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2346,2343,-0.6458261867,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2324,2343,-0.6543801759,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2292,2343,0.6158872244,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1198,2343,-0.5902252567,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2100,2343,-0.5902252567,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
2322,2343,-0.5945022513,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1179,2343,-0.5731172783,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
172,2343,0.5688402836,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1545,2343,0.5602862944,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1190,2343,-0.5602862944,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1193,2343,-0.5602862944,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1187,2343,-0.5560092998,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1826,2343,-0.543178316,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1097,2343,-0.5260703375,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
1825,2343,-0.5175163483,wilcox_effsize,hWAT,D08,LipocyteProfiler_Feature,Gene
