FromID,ToID,Relation_value,Relation_type,Relation_Context_CellType,Relation_Context_DiffDay
41068,32845,-0.6714881544,wilcox_effsize,hWAT,D00
41069,32845,0.6800421436,wilcox_effsize,hWAT,D00
41070,32845,-0.6501031813,wilcox_effsize,hWAT,D00
41071,32845,-0.6501031813,wilcox_effsize,hWAT,D00
41072,32845,-0.620164219,wilcox_effsize,hWAT,D00
41073,32845,-0.5945022513,wilcox_effsize,hWAT,D00
41074,32845,-0.4961313752,wilcox_effsize,hWAT,D00
41075,32845,-0.4833003914,wilcox_effsize,hWAT,D00
41076,32845,-0.4747464021,wilcox_effsize,hWAT,D00
41077,32845,-0.4747464021,wilcox_effsize,hWAT,D00
41078,32845,-0.4704694075,wilcox_effsize,hWAT,D00
41079,32845,-0.6458261867,wilcox_effsize,hWAT,D08
41080,32845,-0.6458261867,wilcox_effsize,hWAT,D08
41081,32845,-0.6543801759,wilcox_effsize,hWAT,D08
41082,32845,0.6158872244,wilcox_effsize,hWAT,D08
41073,32845,-0.5902252567,wilcox_effsize,hWAT,D08
41083,32845,-0.5902252567,wilcox_effsize,hWAT,D08
41084,32845,-0.5945022513,wilcox_effsize,hWAT,D08
41070,32845,-0.5731172783,wilcox_effsize,hWAT,D08
41085,32845,0.5688402836,wilcox_effsize,hWAT,D08
41069,32845,0.5602862944,wilcox_effsize,hWAT,D08
41071,32845,-0.5602862944,wilcox_effsize,hWAT,D08
41078,32845,-0.5602862944,wilcox_effsize,hWAT,D08
41074,32845,-0.5560092998,wilcox_effsize,hWAT,D08
41086,32845,-0.543178316,wilcox_effsize,hWAT,D08
41087,32845,-0.5260703375,wilcox_effsize,hWAT,D08
41088,32845,-0.5175163483,wilcox_effsize,hWAT,D08
41089,32845,-0.508962359,wilcox_effsize,hWAT,D08
41090,32845,0.508962359,wilcox_effsize,hWAT,D08
41091,32845,-0.5046853644,wilcox_effsize,hWAT,D08
41092,32845,-0.4961313752,wilcox_effsize,hWAT,D08
