Id,Name,Type,Property,VectorableProperty
1,Nuclei_Granularity_9_DNA,LipocyteProfiler_Feature,DNA,Nuclei Granularity 9 DNA
3,Nuclei_Granularity_8_DNA,LipocyteProfiler_Feature,DNA,Nuclei Granularity 8 DNA
5,Nuclei_Texture_DifferenceVariance_DNA_20_02,LipocyteProfiler_Feature,DNA,Nuclei Texture DifferenceVariance DNA 20 02
7,Nuclei_Texture_Entropy_DNA_10_03,LipocyteProfiler_Feature,DNA,Nuclei Texture Entropy DNA 10 03
9,Nuclei_Intensity_MassDisplacement_DNA,LipocyteProfiler_Feature,DNA,Nuclei Intensity MassDisplacement DNA
11,Nuclei_RadialDistribution_FracAtD_DNA_3of4,LipocyteProfiler_Feature,DNA,Nuclei RadialDistribution FracAtD DNA 3of4
13,Cells_Texture_InfoMeas1_DNA_20_03,LipocyteProfiler_Feature,DNA,Cells Texture InfoMeas1 DNA 20 03
15,Nuclei_Granularity_13_DNA,LipocyteProfiler_Feature,DNA,Nuclei Granularity 13 DNA
17,Cells_RadialDistribution_MeanFrac_DNA_1of4,LipocyteProfiler_Feature,DNA,Cells RadialDistribution MeanFrac DNA 1of4
19,Cells_Texture_InverseDifferenceMoment_DNA_10_01,LipocyteProfiler_Feature,DNA,Cells Texture InverseDifferenceMoment DNA 10 01
20,Nuclei_Texture_SumEntropy_DNA_20_01,LipocyteProfiler_Feature,DNA,Nuclei Texture SumEntropy DNA 20 01
22,Nuclei_Texture_InverseDifferenceMoment_DNA_20_00,LipocyteProfiler_Feature,DNA,Nuclei Texture InverseDifferenceMoment DNA 20 00
23,Nuclei_Texture_InfoMeas2_DNA_10_00,LipocyteProfiler_Feature,DNA,Nuclei Texture InfoMeas2 DNA 10 00
24,Cells_Texture_Variance_DNA_20_01,LipocyteProfiler_Feature,DNA,Cells Texture Variance DNA 20 01
26,Nuclei_Texture_SumVariance_DNA_10_02,LipocyteProfiler_Feature,DNA,Nuclei Texture SumVariance DNA 10 02
27,Nuclei_Intensity_IntegratedIntensity_DNA,LipocyteProfiler_Feature,DNA,Nuclei Intensity IntegratedIntensity DNA
28,Cells_Texture_DifferenceEntropy_DNA_10_00,LipocyteProfiler_Feature,DNA,Cells Texture DifferenceEntropy DNA 10 00
29,Nuclei_Texture_Correlation_DNA_10_00,LipocyteProfiler_Feature,DNA,Nuclei Texture Correlation DNA 10 00
30,Cells_Texture_Entropy_DNA_20_02,LipocyteProfiler_Feature,DNA,Cells Texture Entropy DNA 20 02
31,Cells_Mean_SmallbodipyObjects_Granularity_7_bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean SmallbodipyObjects Granularity 7 bodipy
33,Cytoplasm_Texture_Entropy_bodipy_10_00,LipocyteProfiler_Feature,Lipid,Cytoplasm Texture Entropy bodipy 10 00
35,Nuclei_Texture_Contrast_bodipy_10_01,LipocyteProfiler_Feature,Lipid,Nuclei Texture Contrast bodipy 10 01
36,Cells_Texture_Entropy_bodipy_20_02,LipocyteProfiler_Feature,Lipid,Cells Texture Entropy bodipy 20 02
37,Nuclei_Texture_Entropy_bodipy_5_03,LipocyteProfiler_Feature,Lipid,Nuclei Texture Entropy bodipy 5 03
39,Cytoplasm_Intensity_MaxIntensityEdge_bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity MaxIntensityEdge bodipy
41,Nuclei_Texture_SumEntropy_bodipy_10_01,LipocyteProfiler_Feature,Lipid,Nuclei Texture SumEntropy bodipy 10 01
42,Cytoplasm_Texture_SumAverage_bodipy_20_00,LipocyteProfiler_Feature,Lipid,Cytoplasm Texture SumAverage bodipy 20 00
44,Nuclei_Texture_AngularSecondMoment_bodipy_20_01,LipocyteProfiler_Feature,Lipid,Nuclei Texture AngularSecondMoment bodipy 20 01
45,Nuclei_Texture_AngularSecondMoment_bodipy_10_02,LipocyteProfiler_Feature,Lipid,Nuclei Texture AngularSecondMoment bodipy 10 02
46,Cytoplasm_Texture_SumEntropy_bodipy_5_01,LipocyteProfiler_Feature,Lipid,Cytoplasm Texture SumEntropy bodipy 5 01
47,Cells_Texture_InfoMeas1_bodipy_5_03,LipocyteProfiler_Feature,Lipid,Cells Texture InfoMeas1 bodipy 5 03
49,Cytoplasm_Texture_SumVariance_bodipy_10_03,LipocyteProfiler_Feature,Lipid,Cytoplasm Texture SumVariance bodipy 10 03
50,Nuclei_Texture_Correlation_bodipy_5_00,LipocyteProfiler_Feature,Lipid,Nuclei Texture Correlation bodipy 5 00
51,Nuclei_Texture_InfoMeas2_bodipy_20_02,LipocyteProfiler_Feature,Lipid,Nuclei Texture InfoMeas2 bodipy 20 02
52,Cells_Mean_SmallbodipyObjects_AreaShape_Solidity,LipocyteProfiler_Feature,Lipid,Cells Mean SmallbodipyObjects AreaShape Solidity
53,Cytoplasm_Granularity_4_bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Granularity 4 bodipy
55,Cytoplasm_Texture_InfoMeas1_bodipy_20_03,LipocyteProfiler_Feature,Lipid,Cytoplasm Texture InfoMeas1 bodipy 20 03
