Id,Name,Type,Property,VectorableProperty
1,Cytoplasm_Correlation_K_Agp_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Correlation K Agp Bodipy
3,Cells_Correlation_K_Agp_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation K Agp Bodipy
4,Cells_Mean_Smallbodipyobjects_Correlation_K_Agp_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Correlation K Agp Bodipy
5,Cells_Texture_Infomeas1_Mito_20_01,LipocyteProfiler_Feature,Mito,Cells Texture Infomeas1 Mito 20 01
6,Cytoplasm_Texture_Infomeas1_Mito_10_01,LipocyteProfiler_Feature,Mito,Cytoplasm Texture Infomeas1 Mito 10 01
7,Cells_Texture_Infomeas1_Mito_20_03,LipocyteProfiler_Feature,Mito,Cells Texture Infomeas1 Mito 20 03
8,Cytoplasm_Texture_Infomeas1_Mito_20_01,LipocyteProfiler_Feature,Mito,Cytoplasm Texture Infomeas1 Mito 20 01
9,Cells_Correlation_K_Agp_Mito,LipocyteProfiler_Feature,Mito,Cells Correlation K Agp Mito
10,Cytoplasm_Correlation_K_Agp_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Correlation K Agp Mito
11,Cytoplasm_Texture_Infomeas1_Mito_20_00,LipocyteProfiler_Feature,Mito,Cytoplasm Texture Infomeas1 Mito 20 00
12,Nuclei_Correlation_K_Agp_Mito,LipocyteProfiler_Feature,Mito,Nuclei Correlation K Agp Mito
13,Cytoplasm_Texture_Infomeas1_Mito_10_03,LipocyteProfiler_Feature,Mito,Cytoplasm Texture Infomeas1 Mito 10 03
14,Cytoplasm_Texture_Infomeas1_Mito_20_03,LipocyteProfiler_Feature,Mito,Cytoplasm Texture Infomeas1 Mito 20 03
15,Cytoplasm_Texture_Infomeas1_Mito_20_02,LipocyteProfiler_Feature,Mito,Cytoplasm Texture Infomeas1 Mito 20 02
16,Cytoplasm_Correlation_K_Bodipy_Agp,LipocyteProfiler_Feature,Lipid,Cytoplasm Correlation K Bodipy Agp
17,Cells_Correlation_K_Bodipy_Agp,LipocyteProfiler_Feature,Lipid,Cells Correlation K Bodipy Agp
18,Cells_Correlation_K_Bodipy_Dna,LipocyteProfiler_Feature,Lipid,Cells Correlation K Bodipy Dna
20,Nuclei_Correlation_K_Bodipy_Dna,LipocyteProfiler_Feature,Lipid,Nuclei Correlation K Bodipy Dna
21,Cells_Correlation_K_Bodipy_Mito,LipocyteProfiler_Feature,Lipid,Cells Correlation K Bodipy Mito
23,Cytoplasm_Correlation_K_Bodipy_Mito,LipocyteProfiler_Feature,Lipid,Cytoplasm Correlation K Bodipy Mito
24,Cells_Correlation_K_Dna_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation K Dna Bodipy
25,Cells_Correlation_K_Dna_Mito,LipocyteProfiler_Feature,Mito,Cells Correlation K Dna Mito
26,Nuclei_Correlation_K_Dna_Mito,LipocyteProfiler_Feature,Mito,Nuclei Correlation K Dna Mito
27,Cells_Correlation_K_Mito_Agp,LipocyteProfiler_Feature,Mito,Cells Correlation K Mito Agp
28,Nuclei_Correlation_K_Mito_Agp,LipocyteProfiler_Feature,Mito,Nuclei Correlation K Mito Agp
30,Cells_Correlation_K_Mito_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation K Mito Bodipy
31,Cytoplasm_Correlation_K_Mito_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Correlation K Mito Bodipy
32,Cells_Correlation_K_Mito_Dna,LipocyteProfiler_Feature,Mito,Cells Correlation K Mito Dna
33,Nuclei_Correlation_K_Mito_Dna,LipocyteProfiler_Feature,Mito,Nuclei Correlation K Mito Dna
34,Cytoplasm_Correlation_Overlap_Agp_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Correlation Overlap Agp Bodipy
35,Cells_Correlation_Overlap_Agp_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation Overlap Agp Bodipy
36,Cells_Correlation_Overlap_Agp_Dna,LipocyteProfiler_Feature,AGP,Cells Correlation Overlap Agp Dna
37,Cytoplasm_Correlation_Overlap_Agp_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Correlation Overlap Agp Mito
38,Cells_Correlation_Overlap_Agp_Mito,LipocyteProfiler_Feature,Mito,Cells Correlation Overlap Agp Mito
39,Cells_Correlation_Overlap_Dna_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation Overlap Dna Bodipy
40,Cells_Correlation_Overlap_Dna_Mito,LipocyteProfiler_Feature,Mito,Cells Correlation Overlap Dna Mito
41,Cells_Correlation_Overlap_Mito_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation Overlap Mito Bodipy
42,Cells_Granularity_1_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Granularity 1 Bodipy
43,Cytoplasm_Granularity_1_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Granularity 1 Bodipy
