Id,Name,Type,Property,VectorableProperty
1,Cytoplasm_Correlation_K_AGP_bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Correlation K AGP bodipy
3,Cells_Correlation_K_AGP_bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation K AGP bodipy
4,Cells_Mean_SmallbodipyObjects_Correlation_K_AGP_bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean SmallbodipyObjects Correlation K AGP bodipy
5,Cells_Texture_InfoMeas1_Mito_20_01,LipocyteProfiler_Feature,Mito,Cells Texture InfoMeas1 Mito 20 01
6,Cytoplasm_Texture_InfoMeas1_Mito_10_01,LipocyteProfiler_Feature,Mito,Cytoplasm Texture InfoMeas1 Mito 10 01
7,Cells_Texture_InfoMeas1_Mito_20_03,LipocyteProfiler_Feature,Mito,Cells Texture InfoMeas1 Mito 20 03
8,Cytoplasm_Texture_InfoMeas1_Mito_20_01,LipocyteProfiler_Feature,Mito,Cytoplasm Texture InfoMeas1 Mito 20 01
9,Cells_Correlation_K_AGP_Mito,LipocyteProfiler_Feature,Mito,Cells Correlation K AGP Mito
10,Cytoplasm_Correlation_K_AGP_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Correlation K AGP Mito
11,Cytoplasm_Texture_InfoMeas1_Mito_20_00,LipocyteProfiler_Feature,Mito,Cytoplasm Texture InfoMeas1 Mito 20 00
12,Nuclei_Correlation_K_AGP_Mito,LipocyteProfiler_Feature,Mito,Nuclei Correlation K AGP Mito
13,Cytoplasm_Texture_InfoMeas1_Mito_10_03,LipocyteProfiler_Feature,Mito,Cytoplasm Texture InfoMeas1 Mito 10 03
14,Cytoplasm_Texture_InfoMeas1_Mito_20_03,LipocyteProfiler_Feature,Mito,Cytoplasm Texture InfoMeas1 Mito 20 03
15,Cytoplasm_Texture_InfoMeas1_Mito_20_02,LipocyteProfiler_Feature,Mito,Cytoplasm Texture InfoMeas1 Mito 20 02
16,Cytoplasm_Correlation_K_bodipy_AGP,LipocyteProfiler_Feature,Lipid,Cytoplasm Correlation K bodipy AGP
17,Cells_Correlation_K_bodipy_AGP,LipocyteProfiler_Feature,Lipid,Cells Correlation K bodipy AGP
18,Cells_Correlation_K_bodipy_DNA,LipocyteProfiler_Feature,Lipid,Cells Correlation K bodipy DNA
20,Nuclei_Correlation_K_bodipy_DNA,LipocyteProfiler_Feature,Lipid,Nuclei Correlation K bodipy DNA
21,Cells_Correlation_K_bodipy_Mito,LipocyteProfiler_Feature,Lipid,Cells Correlation K bodipy Mito
23,Cytoplasm_Correlation_K_bodipy_Mito,LipocyteProfiler_Feature,Lipid,Cytoplasm Correlation K bodipy Mito
24,Cells_Correlation_K_DNA_bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation K DNA bodipy
25,Cells_Correlation_K_DNA_Mito,LipocyteProfiler_Feature,Mito,Cells Correlation K DNA Mito
26,Nuclei_Correlation_K_DNA_Mito,LipocyteProfiler_Feature,Mito,Nuclei Correlation K DNA Mito
27,Cells_Correlation_K_Mito_AGP,LipocyteProfiler_Feature,Mito,Cells Correlation K Mito AGP
28,Nuclei_Correlation_K_Mito_AGP,LipocyteProfiler_Feature,Mito,Nuclei Correlation K Mito AGP
30,Cells_Correlation_K_Mito_bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation K Mito bodipy
31,Cytoplasm_Correlation_K_Mito_bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Correlation K Mito bodipy
32,Cells_Correlation_K_Mito_DNA,LipocyteProfiler_Feature,Mito,Cells Correlation K Mito DNA
33,Nuclei_Correlation_K_Mito_DNA,LipocyteProfiler_Feature,Mito,Nuclei Correlation K Mito DNA
34,Cytoplasm_Correlation_Overlap_AGP_bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Correlation Overlap AGP bodipy
35,Cells_Correlation_Overlap_AGP_bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation Overlap AGP bodipy
36,Cells_Correlation_Overlap_AGP_DNA,LipocyteProfiler_Feature,AGP,Cells Correlation Overlap AGP DNA
37,Cytoplasm_Correlation_Overlap_AGP_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Correlation Overlap AGP Mito
38,Cells_Correlation_Overlap_AGP_Mito,LipocyteProfiler_Feature,Mito,Cells Correlation Overlap AGP Mito
39,Cells_Correlation_Overlap_DNA_bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation Overlap DNA bodipy
40,Cells_Correlation_Overlap_DNA_Mito,LipocyteProfiler_Feature,Mito,Cells Correlation Overlap DNA Mito
41,Cells_Correlation_Overlap_Mito_bodipy,LipocyteProfiler_Feature,Lipid,Cells Correlation Overlap Mito bodipy
42,Cells_Granularity_1_bodipy,LipocyteProfiler_Feature,Lipid,Cells Granularity 1 bodipy
43,Cytoplasm_Granularity_1_bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Granularity 1 bodipy
44,Cells_Granularity_2_bodipy,LipocyteProfiler_Feature,Lipid,Cells Granularity 2 bodipy
