Id,Name,Type
1,ADRA2A,Gene
2,(R)-(-)-apomorphine,Chemical Compound
3,ADRA2B,Gene
4,ADRA2C,Gene
5,CALY,Gene
6,DRD1,Gene
7,DRD2,Gene
8,DRD3,Gene
9,DRD4,Gene
10,DRD5,Gene
11,HTR1A,Gene
12,HTR1B,Gene
13,HTR1D,Gene
14,HTR2A,Gene
15,HTR2B,Gene
16,HTR2C,Gene
17,HTR5A,Gene
18,PDE4A,Gene
19,(R)-(-)-rolipram,Chemical Compound
20,PDE4B,Gene
21,PDE4C,Gene
22,PDE4D,Gene
23,PDE5A,Gene
24,GABBR1,Gene
25,(R)-baclofen,Chemical Compound
26,GABBR2,Gene
27,(S)-(+)-rolipram,Chemical Compound
28,TACR1,Gene
29,"[sar9,met(o2)11]-substance-p",Chemical Compound
30,GSK3A,Gene
31,A-1070722,Chemical Compound
32,GSK3B,Gene
33,RBP4,Gene
34,A-1120,Chemical Compound
35,P2RX3,Gene
36,A-317491,Chemical Compound
37,EHMT1,Gene
38,A-366,Chemical Compound
39,EHMT2,Gene
40,A-412997,Chemical Compound
41,P2RX7,Gene
42,A-438079,Chemical Compound
43,CHRNA7,Gene
44,A-582941,Chemical Compound
45,ADRA1A,Gene
46,A-61603,Chemical Compound
47,ADRA1B,Gene
48,ADRA1D,Gene
49,AKT1,Gene
50,A-674563,Chemical Compound
51,PKIA,Gene
52,PRKACA,Gene
53,TRPV1,Gene
54,A-784168,Chemical Compound
55,SCN10A,Gene
56,A-803467,Chemical Compound
57,A-804598,Chemical Compound
58,A-839977,Chemical Compound
59,CHRNA3,Gene
60,A-867744,Chemical Compound
61,CHRNA4,Gene
62,A-887826,Chemical Compound
63,DGAT1,Gene
64,A-922500,Chemical Compound
65,SCD,Gene
66,A-939572,Chemical Compound
67,TRPA1,Gene
68,A-967079,Chemical Compound
69,ADORA1,Gene
70,A-987306,Chemical Compound
71,AVPR1A,Gene
72,CCR1,Gene
73,CHRM1,Gene
74,CHRM2,Gene
75,CHRM3,Gene
76,CHRM4,Gene
77,HTR3A,Gene
78,TACR2,Gene
79,GABRA1,Gene
80,AA-29504,Chemical Compound
81,GABRA4,Gene
82,GABRB3,Gene
83,abamectin,Chemical Compound
84,MMP9,Gene
85,abametapir,Chemical Compound
86,GNRHR,Gene
87,abarelix,Chemical Compound
88,SPHK2,Gene
89,ABC-294640,Chemical Compound
90,CDK4,Gene
91,abemaciclib,Chemical Compound
92,CDK6,Gene
93,CYP11B1,Gene
94,abiraterone,Chemical Compound
95,CYP17A1,Gene
96,abiraterone-acetate,Chemical Compound
97,HRH1,Gene
98,ABT-239,Chemical Compound
99,HRH2,Gene
100,HRH3,Gene
101,PTAFR,Gene
102,ABT-491,Chemical Compound
103,CACNA1G,Gene
104,ABT-639,Chemical Compound
105,CACNA1H,Gene
106,CACNA1I,Gene
107,ADK,Gene
108,ABT-702,Chemical Compound
109,ABT-724,Chemical Compound
110,BCL2,Gene
111,ABT-737,Chemical Compound
112,BCL2L1,Gene
113,BCL2L2,Gene
114,TUBB,Gene
115,ABT-751,Chemical Compound
116,ESR2,Gene
117,AC-186,Chemical Compound
118,RARB,Gene
119,AC-261066,Chemical Compound
120,F2RL1,Gene
121,AC-264613,Chemical Compound
122,PARP2,Gene
123,AC-55541,Chemical Compound
124,RARA,Gene
125,AC-55649,Chemical Compound
126,CSF1R,Gene
127,AC-710,Chemical Compound
128,FLT3,Gene
129,KIT,Gene
130,PDGFRA,Gene
131,PDGFRB,Gene
132,UTS2R,Gene
133,AC-7954-(+/-),Chemical Compound
134,BTK,Gene
135,acalabrutinib,Chemical Compound
136,PIK3CB,Gene
137,acalisib,Chemical Compound
138,PIK3CD,Gene
139,acamprosate,Chemical Compound
140,GABRA2,Gene
141,GABRA3,Gene
142,GABRA5,Gene
143,GABRA6,Gene
144,GABRB1,Gene
145,GABRB2,Gene
146,GABRD,Gene
147,GABRE,Gene
148,GABRG1,Gene
149,GABRG2,Gene
150,GABRG3,Gene
151,GABRP,Gene
152,GABRQ,Gene
153,GRIN1,Gene
154,GRIN2A,Gene
155,GRIN2B,Gene
156,GRIN2C,Gene
157,GRIN2D,Gene
158,GRIN3A,Gene
159,GRIN3B,Gene
160,GRM5,Gene
161,AMY2A,Gene
162,acarbose,Chemical Compound
163,MGAM,Gene
164,ACDPP,Chemical Compound
165,ADRB1,Gene
166,acebutolol,Chemical Compound
167,SCN5A,Gene
168,acecainide,Chemical Compound
169,aceclidine,Chemical Compound
170,CHRM5,Gene
171,PTGS2,Gene
172,aceclofenac,Chemical Compound
173,acefylline,Chemical Compound
174,PTGS1,Gene
175,acemetacin,Chemical Compound
176,CES1,Gene
177,aceneuramic-acid,Chemical Compound
178,SELE,Gene
179,SELP,Gene
180,VKORC1,Gene
181,acenocoumarol,Chemical Compound
182,acepromazine,Chemical Compound
183,AQP1,Gene
184,acetazolamide,Chemical Compound
185,CA1,Gene
186,CA12,Gene
187,CA14,Gene
188,CA2,Gene
189,CA3,Gene
190,CA4,Gene
191,CA7,Gene
192,ABCC8,Gene
