Id,Name,Type,VectorableProperty
28811,ASATadjBMI,Phenotype,ASATadjBMI
29283,High-density lipoprotein cholesterol,Phenotype,High-density lipoprotein cholesterol
29770,type 2 diabetes mellitus,Phenotype,type 2 diabetes mellitus
30011,vatAsatRatio,Phenotype,vatAsatRatio
30581,HOMAIRadjBMI,Phenotype,HOMAIRadjBMI
30798,HOMAIR_hm3,Phenotype,HOMAIR_hm3
30953,VATadjBMI,Phenotype,VATadjBMI
31179,FastingGlucose_MAGIC,Phenotype,FastingGlucose_MAGIC
31589,HbA1c_MAGIC,Phenotype,HbA1c_MAGIC
31936,GFATadjBMI,Phenotype,GFATadjBMI
32551,Schizophrenia,Phenotype,Schizophrenia
32786,WHRadjBMI,Phenotype,WHRadjBMI
33361,Coronary Artery Disease,Phenotype,Coronary Artery Disease
34630,low-density lipoprotein cholesterol,Phenotype,low-density lipoprotein cholesterol
34905,BMI,Phenotype,BMI
35037,IFCadjBMI,Phenotype,IFCadjBMI
36695,FastingInsulin_MAGIC,Phenotype,FastingInsulin_MAGIC
37155,HbA1c_hm3,Phenotype,HbA1c_hm3
37369,type 1 diabetes mellitus,Phenotype,type 1 diabetes mellitus
38543,ISIadjBMI,Phenotype,ISIadjBMI
40312,Hip circumference adjusted for BMI,Phenotype,Hip circumference adjusted for BMI
40313,Waist circumference,Phenotype,Waist circumference
40314,Waist-hip ratio,Phenotype,Waist-hip ratio
40315,Body mass index,Phenotype,Body mass index
40316,Hip circumference,Phenotype,Hip circumference
40317,Response to Homoharringtonine (cytotoxicity),Phenotype,Response to Homoharringtonine (cytotoxicity)
40318,Thrombomodulin levels in ischemic stroke,Phenotype,Thrombomodulin levels in ischemic stroke
40319,Creatinine levels in ischemic stroke,Phenotype,Creatinine levels in ischemic stroke
40320,Prothrombin fragments F1+2 levels in ischemic stroke,Phenotype,Prothrombin fragments F1+2 levels in ischemic stroke
40321,Clozapine-induced cytotoxicity,Phenotype,Clozapine-induced cytotoxicity
40322,Waist circumference adjusted for body mass index,Phenotype,Waist circumference adjusted for body mass index
40323,Trans fatty acid levels,Phenotype,Trans fatty acid levels
40324,Response to inhaled glucocorticoid treatment in asthma (change in FEV1),Phenotype,Response to inhaled glucocorticoid treatment in asthma (change in FEV1)
