Id,Name,Type,VectorableProperty
2,HOMAIR,Phenotype,HOMAIR
19,HDL,Phenotype,HDL
22,Homair Adj Bmi,Phenotype,Homair Adj Bmi
29,Fasting Blood Glucose,Phenotype,Fasting Blood Glucose
59,T2D,Phenotype,T2D
65,Insulin Fold Change Adj Bmi,Phenotype,Insulin Fold Change Adj Bmi
68,BMI,Phenotype,BMI
72,LDL,Phenotype,LDL
77,Fasting Blood Insulin,Phenotype,Fasting Blood Insulin
200,Schizophrenia,Phenotype,Schizophrenia
671,T2D 2024,Phenotype,T2D 2024
950,Glutamine Fructose-6-Phosphate Amidotransferase Adj Bmi,Phenotype,Glutamine Fructose-6-Phosphate Amidotransferase Adj Bmi
1164,Handedness,Phenotype,Handedness
1239,T1D,Phenotype,T1D
1479,Insulin Sensitivity Index Adj Bmi,Phenotype,Insulin Sensitivity Index Adj Bmi
1603,vatAsatRatio,Phenotype,vatAsatRatio
1680,HbA1c,Phenotype,HbA1c
1682,FastingInsulin,Phenotype,FastingInsulin
1709,Coronary Artery Disease,Phenotype,Coronary Artery Disease
2193,Abdominal Subcutaneous Adipose Tissue Adj Bmi,Phenotype,Abdominal Subcutaneous Adipose Tissue Adj Bmi
2326,Waist-Hip Ratio Adj Bmi,Phenotype,Waist-Hip Ratio Adj Bmi
2327,VATadjBMI,Phenotype,VATadjBMI
2331,Proinsulin,Phenotype,Proinsulin
2332,SHBG_LpA,Phenotype,SHBG_LpA
2333,Beta_Cell_2,Phenotype,Beta_Cell_2
2334,Obesity,Phenotype,Obesity
2335,Lipodystrophy_1,Phenotype,Lipodystrophy_1
2336,Bilirubin,Phenotype,Bilirubin
2337,Liver_Lipid,Phenotype,Liver_Lipid
2338,Lipodystrophy_2,Phenotype,Lipodystrophy_2
2339,Hyper_Insulin,Phenotype,Hyper_Insulin
2340,ALP_Neg,Phenotype,ALP_Neg
2341,Total Cholesterol,Phenotype,Total Cholesterol
2342,Beta_Cell_1,Phenotype,Beta_Cell_1
3595,Type 2 Diabetes Mellitus,Phenotype,Type 2 Diabetes Mellitus
5273,Fasting Glucose Magic,Phenotype,Fasting Glucose Magic
5764,Hba1C Magic,Phenotype,Hba1C Magic
6204,Glutamine Fructose-6-Phosphate Amidotransferase (Gfat),Phenotype,Glutamine Fructose-6-Phosphate Amidotransferase (Gfat)
11899,Fasting Insulin Magic,Phenotype,Fasting Insulin Magic
12450,Hba1C Hm3,Phenotype,Hba1C Hm3
12701,Type 1 Diabetes Mellitus,Phenotype,Type 1 Diabetes Mellitus
15974,Urate Levels,Phenotype,Urate Levels
15976,Triglyceride To Hdl Cholesterol Ratio,Phenotype,Triglyceride To Hdl Cholesterol Ratio
15978,Sex Hormone-Binding Globulin Levels Adjusted For Bmi,Phenotype,Sex Hormone-Binding Globulin Levels Adjusted For Bmi
15980,Height,Phenotype,Height
15982,Total Esterified Cholesterol Levels,Phenotype,Total Esterified Cholesterol Levels
15986,Testasv_38 (Ruminococcus) Abundance,Phenotype,Testasv_38 (Ruminococcus) Abundance
15988,Subclinical Hypothyroidism In Pregnancy,Phenotype,Subclinical Hypothyroidism In Pregnancy
15990,Electrocardiogram Morphology (Amplitude At Temporal Datapoints),Phenotype,Electrocardiogram Morphology (Amplitude At Temporal Datapoints)
15993,Non-Hdl Cholesterol Levels,Phenotype,Non-Hdl Cholesterol Levels
15996,Atrial Fibrillation,Phenotype,Atrial Fibrillation
15999,Low Density Lipoprotein Cholesterol Levels,Phenotype,Low Density Lipoprotein Cholesterol Levels
16001,Phospholipid Levels In Medium Vldl,Phenotype,Phospholipid Levels In Medium Vldl
16004,Phospholipids To Total Lipids Ratio In Very Large Hdl,Phenotype,Phospholipids To Total Lipids Ratio In Very Large Hdl
16006,Breast Cancer,Phenotype,Breast Cancer
16008,Coenzyme Q10 Levels,Phenotype,Coenzyme Q10 Levels
16010,Anxiety Severity X Playing Computer Games Interaction,Phenotype,Anxiety Severity X Playing Computer Games Interaction
16012,Hematocrit,Phenotype,Hematocrit
16016,Systolic Blood Pressure,Phenotype,Systolic Blood Pressure
16018,Sarcalumenin Levels,Phenotype,Sarcalumenin Levels
16021,Appendicular Lean Mass,Phenotype,Appendicular Lean Mass
16025,Memory Decline In Impaired Cognition X Sex Interaction,Phenotype,Memory Decline In Impaired Cognition X Sex Interaction
16027,Bone Mineral Density Mean,Phenotype,Bone Mineral Density Mean
16029,F-Acquired Taste Liking (Derived Food-Liking Factor),Phenotype,F-Acquired Taste Liking (Derived Food-Liking Factor)
16031,Glycine Levels,Phenotype,Glycine Levels
16034,Medication Use (Thyroid Preparations),Phenotype,Medication Use (Thyroid Preparations)
16036,Waist-To-Hip Ratio Adjusted For Bmi,Phenotype,Waist-To-Hip Ratio Adjusted For Bmi
16038,Amyotrophic Lateral Sclerosis (Sporadic),Phenotype,Amyotrophic Lateral Sclerosis (Sporadic)
16040,Facial Morphology (Factor 2-- Vertical Position Of Orbits Relative To Midface),Phenotype,Facial Morphology (Factor 2-- Vertical Position Of Orbits Relative To Midface)
16042,Smoking Initiation,Phenotype,Smoking Initiation
16047,Brainstem Volume,Phenotype,Brainstem Volume
16049,Peptidyl-Glycine Alpha-Amidating Monooxygenase Levels (Pam.5620.13.3),Phenotype,Peptidyl-Glycine Alpha-Amidating Monooxygenase Levels (Pam.5620.13.3)
16051,Wg Lh Intensity-Contrast Rostralmiddlefrontal,Phenotype,Wg Lh Intensity-Contrast Rostralmiddlefrontal
16053,Kifbp/Lyn Protein Level Ratio,Phenotype,Kifbp/Lyn Protein Level Ratio
16055,Concentration Of Small Vldl Particles,Phenotype,Concentration Of Small Vldl Particles
16057,Total Phf-Tau (Snp X Snp Interaction),Phenotype,Total Phf-Tau (Snp X Snp Interaction)
16059,Hypertension (Confirmatory Factor Analysis Factor 12),Phenotype,Hypertension (Confirmatory Factor Analysis Factor 12)
16062,Blood Protein Levels,Phenotype,Blood Protein Levels
16064,Migraine Or Glucose Levels,Phenotype,Migraine Or Glucose Levels
16066,Protein Levels In Obesity,Phenotype,Protein Levels In Obesity
16069,Mean Arterial Pressure,Phenotype,Mean Arterial Pressure
16071,Pancreatic Triacylglycerol Lipase Levels,Phenotype,Pancreatic Triacylglycerol Lipase Levels
16073,Peak Height Velocity,Phenotype,Peak Height Velocity
16075,Ascending Aorta Distensibility,Phenotype,Ascending Aorta Distensibility
16078,Liver Enzyme Levels (Alkaline Phosphatase),Phenotype,Liver Enzyme Levels (Alkaline Phosphatase)
16080,Highest Math Class Taken (Mtag),Phenotype,Highest Math Class Taken (Mtag)
16082,Otu99_108 (Cytophagales) Prevalence,Phenotype,Otu99_108 (Cytophagales) Prevalence
16084,Mean Corpuscular Volume,Phenotype,Mean Corpuscular Volume
16088,Educational Attainment,Phenotype,Educational Attainment
16092,Hemoglobin Levels,Phenotype,Hemoglobin Levels
16094,Apolipoprotein B Levels,Phenotype,Apolipoprotein B Levels
16096,Total Lipid Levels In Ldl,Phenotype,Total Lipid Levels In Ldl
16099,Cerebrospinal Fluid Biomarker Levels,Phenotype,Cerebrospinal Fluid Biomarker Levels
16103,Platelet Count,Phenotype,Platelet Count
16105,Lymphocyte Percentage Of White Cells,Phenotype,Lymphocyte Percentage Of White Cells
16107,Triglyceride Levels,Phenotype,Triglyceride Levels
16109,Core Binding Factor Acute Myeloid Leukemia,Phenotype,Core Binding Factor Acute Myeloid Leukemia
16111,Cholesteryl Esters To Total Lipids Ratio In Medium Vldl,Phenotype,Cholesteryl Esters To Total Lipids Ratio In Medium Vldl
16114,Red Cell Distribution Width,Phenotype,Red Cell Distribution Width
16116,Phospholipid Levels In Chylomicrons And Extremely Large Vldl,Phenotype,Phospholipid Levels In Chylomicrons And Extremely Large Vldl
16118,Breast Cancer And/Or Colorectal Cancer,Phenotype,Breast Cancer And/Or Colorectal Cancer
16120,Medication Use (Drugs Used In Diabetes),Phenotype,Medication Use (Drugs Used In Diabetes)
16123,Red Blood Cell Count,Phenotype,Red Blood Cell Count
16125,Ulcerative Colitis,Phenotype,Ulcerative Colitis
16127,Attention Deficit Hyperactivity Disorder Or Autism Spectrum Disorder Or Intelligence (Pleiotropy),Phenotype,Attention Deficit Hyperactivity Disorder Or Autism Spectrum Disorder Or Intelligence (Pleiotropy)
16129,Estimated Glomerular Filtration Rate (Cystatin C),Phenotype,Estimated Glomerular Filtration Rate (Cystatin C)
16132,Estimated Glomerular Filtration Rate After 1 Year In Renal Transplantation (Donor Effect),Phenotype,Estimated Glomerular Filtration Rate After 1 Year In Renal Transplantation (Donor Effect)
16134,Mean Platelet Volume,Phenotype,Mean Platelet Volume
16138,Trail Levels,Phenotype,Trail Levels
16140,Cholesterol To Total Lipids Ratio In Medium Vldl,Phenotype,Cholesterol To Total Lipids Ratio In Medium Vldl
16143,Vertical Cup-Disc Ratio,Phenotype,Vertical Cup-Disc Ratio
16147,Body Mass Index (Mtag),Phenotype,Body Mass Index (Mtag)
16151,Anorexia Nervosa-- Attention-Deficit/Hyperactivity Disorder-- Autism Spectrum Disorder-- Bipolar Disorder-- Major Depression-- Obsessive-Compulsive Disorder-- Schizophrenia-- Or Tourette Syndrome (Pleiotropy),Phenotype,Anorexia Nervosa-- Attention-Deficit/Hyperactivity Disorder-- Autism Spectrum Disorder-- Bipolar Disorder-- Major Depression-- Obsessive-Compulsive Disorder-- Schizophrenia-- Or Tourette Syndrome (Pleiotropy)
16153,Lung Adenocarcinoma,Phenotype,Lung Adenocarcinoma
16156,Pulse Pressure,Phenotype,Pulse Pressure
16158,Adult Body Size,Phenotype,Adult Body Size
16160,Small Cell Lung Carcinoma,Phenotype,Small Cell Lung Carcinoma
16162,Migraine Without Aura,Phenotype,Migraine Without Aura
16165,Protein S100-A4 Levels (S100A4.14116.129.3),Phenotype,Protein S100-A4 Levels (S100A4.14116.129.3)
16168,Triglycerides,Phenotype,Triglycerides
16171,Waist-To-Hip Ratio Adjusted For Body Mass Index,Phenotype,Waist-To-Hip Ratio Adjusted For Body Mass Index
16173,Wg Rh Intensity-Contrast Rostralanteriorcingulate,Phenotype,Wg Rh Intensity-Contrast Rostralanteriorcingulate
