Id,Name,Type
493058,(R)-(-)-apomorphine,Chemical_Compound
493073,(R)-(-)-rolipram,Chemical_Compound
493075,(R)-baclofen,Chemical_Compound
493077,(S)-(+)-rolipram,Chemical_Compound
493078,"[sar9,met(o2)11]-substance-p",Chemical_Compound
493079,A-1070722,Chemical_Compound
493080,A-1120,Chemical_Compound
493082,A-317491,Chemical_Compound
493083,A-366,Chemical_Compound
493084,A-412997,Chemical_Compound
493086,A-438079,Chemical_Compound
493088,A-582941,Chemical_Compound
493090,A-61603,Chemical_Compound
493092,A-674563,Chemical_Compound
493093,A-784168,Chemical_Compound
493095,A-803467,Chemical_Compound
493096,A-804598,Chemical_Compound
493097,A-839977,Chemical_Compound
493099,A-867744,Chemical_Compound
493101,A-887826,Chemical_Compound
493102,A-922500,Chemical_Compound
493103,A-939572,Chemical_Compound
493104,A-967079,Chemical_Compound
493105,A-987306,Chemical_Compound
493115,AA-29504,Chemical_Compound
493117,abamectin,Chemical_Compound
493119,abametapir,Chemical_Compound
493121,abarelix,Chemical_Compound
493122,ABC-294640,Chemical_Compound
493123,abemaciclib,Chemical_Compound
493125,abiraterone,Chemical_Compound
493127,abiraterone-acetate,Chemical_Compound
493128,ABT-239,Chemical_Compound
493132,ABT-491,Chemical_Compound
493134,ABT-639,Chemical_Compound
493137,ABT-702,Chemical_Compound
493138,ABT-724,Chemical_Compound
493139,ABT-737,Chemical_Compound
493140,ABT-751,Chemical_Compound
493142,AC-186,Chemical_Compound
493143,AC-261066,Chemical_Compound
493144,AC-264613,Chemical_Compound
493145,AC-55541,Chemical_Compound
493146,AC-55649,Chemical_Compound
493147,AC-710,Chemical_Compound
493151,AC-7954-(+/-),Chemical_Compound
493153,acalabrutinib,Chemical_Compound
493154,acalisib,Chemical_Compound
493155,acamprosate,Chemical_Compound
493173,acarbose,Chemical_Compound
493175,ACDPP,Chemical_Compound
493177,acebutolol,Chemical_Compound
493179,acecainide,Chemical_Compound
493180,aceclidine,Chemical_Compound
493182,aceclofenac,Chemical_Compound
493183,acefylline,Chemical_Compound
493184,acemetacin,Chemical_Compound
493185,aceneuramic-acid,Chemical_Compound
493188,acenocoumarol,Chemical_Compound
493189,acepromazine,Chemical_Compound
493190,acetazolamide,Chemical_Compound
493196,acetohexamide,Chemical_Compound
493201,acetohydroxamic-acid,Chemical_Compound
493202,acetophenazine,Chemical_Compound
493203,acetyl-farnesyl-cysteine,Chemical_Compound
493204,acetyl-11-keto-beta-boswellic-acid,Chemical_Compound
493206,acetylcholine,Chemical_Compound
493208,acetylcysteine,Chemical_Compound
493211,acexamic-acid,Chemical_Compound
493212,acifran,Chemical_Compound
493214,acipimox,Chemical_Compound
493215,acitretin,Chemical_Compound
493218,acivicin,Chemical_Compound
493219,aclarubicin,Chemical_Compound
493220,aclidinium,Chemical_Compound
493221,acriflavine,Chemical_Compound
493222,acriflavinium,Chemical_Compound
493223,acrivastine,Chemical_Compound
493224,ACT-132577,Chemical_Compound
493226,ACT-462206,Chemical_Compound
493229,ACTB-1003,Chemical_Compound
493230,ACY-1215,Chemical_Compound
493231,acyclovir,Chemical_Compound
