Id,Name,Type
25329,(R)-(-)-apomorphine,Chemical_Compound
25344,(R)-(-)-rolipram,Chemical_Compound
25346,(R)-baclofen,Chemical_Compound
25348,(S)-(+)-rolipram,Chemical_Compound
25349,"[sar9,met(o2)11]-substance-p",Chemical_Compound
25350,A-1070722,Chemical_Compound
25351,A-1120,Chemical_Compound
25353,A-317491,Chemical_Compound
25354,A-366,Chemical_Compound
25355,A-412997,Chemical_Compound
25357,A-438079,Chemical_Compound
25359,A-582941,Chemical_Compound
25361,A-61603,Chemical_Compound
25363,A-674563,Chemical_Compound
25364,A-784168,Chemical_Compound
25366,A-803467,Chemical_Compound
25367,A-804598,Chemical_Compound
25368,A-839977,Chemical_Compound
25370,A-867744,Chemical_Compound
25372,A-887826,Chemical_Compound
25373,A-922500,Chemical_Compound
25374,A-939572,Chemical_Compound
25375,A-967079,Chemical_Compound
25376,A-987306,Chemical_Compound
25386,AA-29504,Chemical_Compound
25388,abamectin,Chemical_Compound
25390,abametapir,Chemical_Compound
25392,abarelix,Chemical_Compound
25393,ABC-294640,Chemical_Compound
25394,abemaciclib,Chemical_Compound
25396,abiraterone,Chemical_Compound
25398,abiraterone-acetate,Chemical_Compound
25399,ABT-239,Chemical_Compound
25403,ABT-491,Chemical_Compound
25405,ABT-639,Chemical_Compound
25408,ABT-702,Chemical_Compound
25409,ABT-724,Chemical_Compound
25410,ABT-737,Chemical_Compound
25411,ABT-751,Chemical_Compound
25413,AC-186,Chemical_Compound
25414,AC-261066,Chemical_Compound
25415,AC-264613,Chemical_Compound
25416,AC-55541,Chemical_Compound
25417,AC-55649,Chemical_Compound
25418,AC-710,Chemical_Compound
25422,AC-7954-(+/-),Chemical_Compound
25424,acalabrutinib,Chemical_Compound
25425,acalisib,Chemical_Compound
25426,acamprosate,Chemical_Compound
25444,acarbose,Chemical_Compound
25446,ACDPP,Chemical_Compound
25448,acebutolol,Chemical_Compound
25450,acecainide,Chemical_Compound
25451,aceclidine,Chemical_Compound
25453,aceclofenac,Chemical_Compound
25454,acefylline,Chemical_Compound
25455,acemetacin,Chemical_Compound
25456,aceneuramic-acid,Chemical_Compound
25459,acenocoumarol,Chemical_Compound
25460,acepromazine,Chemical_Compound
25461,acetazolamide,Chemical_Compound
25467,acetohexamide,Chemical_Compound
25472,acetohydroxamic-acid,Chemical_Compound
25473,acetophenazine,Chemical_Compound
25474,acetyl-farnesyl-cysteine,Chemical_Compound
25475,acetyl-11-keto-beta-boswellic-acid,Chemical_Compound
25477,acetylcholine,Chemical_Compound
25479,acetylcysteine,Chemical_Compound
25482,acexamic-acid,Chemical_Compound
25483,acifran,Chemical_Compound
25485,acipimox,Chemical_Compound
25486,acitretin,Chemical_Compound
25489,acivicin,Chemical_Compound
25490,aclarubicin,Chemical_Compound
25491,aclidinium,Chemical_Compound
25492,acriflavine,Chemical_Compound
25493,acriflavinium,Chemical_Compound
25494,acrivastine,Chemical_Compound
25495,ACT-132577,Chemical_Compound
25497,ACT-462206,Chemical_Compound
25500,ACTB-1003,Chemical_Compound
25501,ACY-1215,Chemical_Compound
25502,acyclovir,Chemical_Compound
25503,AD-5467,Chemical_Compound
25504,adapalene,Chemical_Compound
25505,adaprev,Chemical_Compound
25508,adaptavir,Chemical_Compound
25509,adarotene,Chemical_Compound
25510,adatanserin,Chemical_Compound
25511,adenine,Chemical_Compound
25512,adenosine,Chemical_Compound
25515,adenosine-phosphate,Chemical_Compound
25517,adenosine-triphosphate,Chemical_Compound
25534,adiphenine,Chemical_Compound
25536,adipic-acid,Chemical_Compound
25537,adiporon,Chemical_Compound
25539,ADL5859,Chemical_Compound
25540,adoprazine,Chemical_Compound
25541,adrenalone,Chemical_Compound
25542,adrenosterone,Chemical_Compound
25543,ADX-10059,Chemical_Compound
25544,ADX-47273,Chemical_Compound
25545,AEE788,Chemical_Compound
25548,afalanine,Chemical_Compound
25549,afatinib,Chemical_Compound
25550,afimoxifene,Chemical_Compound
25555,AF38469,Chemical_Compound
25556,AG-1024,Chemical_Compound
25557,AG-14361,Chemical_Compound
25558,AG-490,Chemical_Compound
25559,AG-555,Chemical_Compound
25560,AGI-5198,Chemical_Compound
25561,AGI-6780,Chemical_Compound
