FromID,ToID,Relation_value,Relation_type,FromType,ToType
23,450,0.1529,ORorBETA,Phenotype,SNP
8,451,0.0711,ORorBETA,Phenotype,SNP
2,452,-0.0438466,ORorBETA,Phenotype,SNP
2,453,0.0122,ORorBETA,Phenotype,SNP
23,454,0.1803,ORorBETA,Phenotype,SNP
2,455,-0.2656,ORorBETA,Phenotype,SNP
105,456,-0.0156024,ORorBETA,Phenotype,SNP
23,457,-0.0216237,ORorBETA,Phenotype,SNP
2,458,-0.0966,ORorBETA,Phenotype,SNP
30,459,0.0203801,ORorBETA,Phenotype,SNP
15,460,0.1433,ORorBETA,Phenotype,SNP
30,461,0.1153,ORorBETA,Phenotype,SNP
20,462,-0.0118518,ORorBETA,Phenotype,SNP
8,463,0.02108373,ORorBETA,Phenotype,SNP
30,464,0.2424,ORorBETA,Phenotype,SNP
6,465,-0.1206,ORorBETA,Phenotype,SNP
10,466,0.1522,ORorBETA,Phenotype,SNP
76,467,0.0162794,ORorBETA,Phenotype,SNP
2,468,-0.0182734,ORorBETA,Phenotype,SNP
4,469,-0.1695,ORorBETA,Phenotype,SNP
66,470,-0.0118615,ORorBETA,Phenotype,SNP
66,471,-0.0981,ORorBETA,Phenotype,SNP
15,472,0.025392,ORorBETA,Phenotype,SNP
15,473,0.0111,ORorBETA,Phenotype,SNP
6,474,-0.00940456,ORorBETA,Phenotype,SNP
2,475,-0.013,ORorBETA,Phenotype,SNP
2,476,0.0100881,ORorBETA,Phenotype,SNP
2,477,-0.102,ORorBETA,Phenotype,SNP
2,478,-0.8406,ORorBETA,Phenotype,SNP
21,480,6.07,ORorBETA,Phenotype,SNP
25,481,0.0125769,ORorBETA,Phenotype,SNP
6,482,-0.1062,ORorBETA,Phenotype,SNP
23,483,0.0202,ORorBETA,Phenotype,SNP
4,484,-0.1177,ORorBETA,Phenotype,SNP
2,485,0.0359,ORorBETA,Phenotype,SNP
2,486,-0.0182222,ORorBETA,Phenotype,SNP
62,487,0.0090096,ORorBETA,Phenotype,SNP
12,488,-0.0123,ORorBETA,Phenotype,SNP
2,489,0.2263,ORorBETA,Phenotype,SNP
20,490,0.0877,ORorBETA,Phenotype,SNP
6,491,0.00814454,ORorBETA,Phenotype,SNP
15,492,0.0103536,ORorBETA,Phenotype,SNP
15,493,0.0887,ORorBETA,Phenotype,SNP
2,494,-0.0227994,ORorBETA,Phenotype,SNP
15,495,-0.0896,ORorBETA,Phenotype,SNP
63,496,-0.1313,ORorBETA,Phenotype,SNP
4,497,-0.2709,ORorBETA,Phenotype,SNP
2,498,-0.00592546,ORorBETA,Phenotype,SNP
21,499,0.0166179,ORorBETA,Phenotype,SNP
2,500,-0.00515635,ORorBETA,Phenotype,SNP
8,501,0.00622575,ORorBETA,Phenotype,SNP
6,502,0.0117,ORorBETA,Phenotype,SNP
2,503,0.15,ORorBETA,Phenotype,SNP
23,504,0.00814762,ORorBETA,Phenotype,SNP
15,505,-0.0260952,ORorBETA,Phenotype,SNP
15,506,0.42,ORorBETA,Phenotype,SNP
220,507,-0.1998,ORorBETA,Phenotype,SNP
2,508,0.3489,ORorBETA,Phenotype,SNP
95,509,0.0086383,ORorBETA,Phenotype,SNP
2,510,0.1088,ORorBETA,Phenotype,SNP
56,511,-0.00988062,ORorBETA,Phenotype,SNP
23,512,0.4763,ORorBETA,Phenotype,SNP
12,513,-0.00613582,ORorBETA,Phenotype,SNP
10,514,0.38,ORorBETA,Phenotype,SNP
15,515,0.00954414,ORorBETA,Phenotype,SNP
4,516,0.0146,ORorBETA,Phenotype,SNP
30,517,-0.1556,ORorBETA,Phenotype,SNP
23,518,0.0121822,ORorBETA,Phenotype,SNP
2,519,-0.0121,ORorBETA,Phenotype,SNP
2,520,0.0121269,ORorBETA,Phenotype,SNP
30,521,-0.1689,ORorBETA,Phenotype,SNP
58,522,0.0147777,ORorBETA,Phenotype,SNP
4,523,0.2035,ORorBETA,Phenotype,SNP
6,524,-0.0119588,ORorBETA,Phenotype,SNP
36,525,0.0163892,ORorBETA,Phenotype,SNP
2,526,-0.1065,ORorBETA,Phenotype,SNP
66,527,-0.0137318,ORorBETA,Phenotype,SNP
15,528,-0.1649,ORorBETA,Phenotype,SNP
6,529,0.1036,ORorBETA,Phenotype,SNP
58,530,0.011,ORorBETA,Phenotype,SNP
2,531,-0.0114164,ORorBETA,Phenotype,SNP
23,532,0.0256,ORorBETA,Phenotype,SNP
2,534,0.0218,ORorBETA,Phenotype,SNP
23,535,0.0103,ORorBETA,Phenotype,SNP
56,536,-0.1808,ORorBETA,Phenotype,SNP
20,537,-0.0236074,ORorBETA,Phenotype,SNP
25,538,0.0368,ORorBETA,Phenotype,SNP
15,539,0.0557,ORorBETA,Phenotype,SNP
12,540,0.1306,ORorBETA,Phenotype,SNP
2,541,0.1346,ORorBETA,Phenotype,SNP
108,542,-0.0136,ORorBETA,Phenotype,SNP
4,543,0.2165,ORorBETA,Phenotype,SNP
15,545,0.00600853,ORorBETA,Phenotype,SNP
4,546,0.0874,ORorBETA,Phenotype,SNP
25,547,0.1689,ORorBETA,Phenotype,SNP
66,548,-0.1222,ORorBETA,Phenotype,SNP
25,549,-0.00716966,ORorBETA,Phenotype,SNP
