FromID,ToID,Relation_value,Relation_type,FromType,ToType
15974,15975,0.079207,ORorBETA,Phenotype,SNP
15976,15977,0.0239,ORorBETA,Phenotype,SNP
15978,15979,0.0108118,ORorBETA,Phenotype,SNP
15980,15981,0.0879,ORorBETA,Phenotype,SNP
15982,15983,0.0333645,ORorBETA,Phenotype,SNP
15980,15984,0.0088,ORorBETA,Phenotype,SNP
15980,15985,0.0395,ORorBETA,Phenotype,SNP
15986,15987,0.3279057,ORorBETA,Phenotype,SNP
15988,15989,1.24,ORorBETA,Phenotype,SNP
15990,15991,0.0319294,ORorBETA,Phenotype,SNP
15990,15992,0.127741,ORorBETA,Phenotype,SNP
15993,15994,0.0220655,ORorBETA,Phenotype,SNP
15980,15995,0.018,ORorBETA,Phenotype,SNP
15996,15997,1.16,ORorBETA,Phenotype,SNP
200,15998,1.05,ORorBETA,Phenotype,SNP
15999,16000,0.0308,ORorBETA,Phenotype,SNP
16001,16002,0.0783946,ORorBETA,Phenotype,SNP
15980,16003,0.0194,ORorBETA,Phenotype,SNP
16004,16005,0.187908,ORorBETA,Phenotype,SNP
16006,16007,1.2,ORorBETA,Phenotype,SNP
16008,16009,0.033,ORorBETA,Phenotype,SNP
16010,16011,1.36006,ORorBETA,Phenotype,SNP
16012,16013,0.015718931,ORorBETA,Phenotype,SNP
15980,16014,0.0191,ORorBETA,Phenotype,SNP
15980,16015,0.0064,ORorBETA,Phenotype,SNP
16016,16017,0.6592,ORorBETA,Phenotype,SNP
16018,16019,0.301,ORorBETA,Phenotype,SNP
68,16020,0.0239,ORorBETA,Phenotype,SNP
16021,16022,0.0872968,ORorBETA,Phenotype,SNP
15980,16023,0.006,ORorBETA,Phenotype,SNP
15980,16024,0.007,ORorBETA,Phenotype,SNP
16025,16026,0.063129,ORorBETA,Phenotype,SNP
16029,16030,0.073418,ORorBETA,Phenotype,SNP
16031,16032,0.038,ORorBETA,Phenotype,SNP
68,16033,0.0094,ORorBETA,Phenotype,SNP
16034,16035,0.0511,ORorBETA,Phenotype,SNP
16036,16037,0.0794235,ORorBETA,Phenotype,SNP
16040,16041,0.2312,ORorBETA,Phenotype,SNP
16042,16043,0.00951,ORorBETA,Phenotype,SNP
15980,16044,0.006,ORorBETA,Phenotype,SNP
200,16045,1.11,ORorBETA,Phenotype,SNP
15980,16046,0.0283,ORorBETA,Phenotype,SNP
16047,16048,6.784,ORorBETA,Phenotype,SNP
16049,16050,1.53,ORorBETA,Phenotype,SNP
16051,16052,0.082,ORorBETA,Phenotype,SNP
16053,16054,0.0817218,ORorBETA,Phenotype,SNP
16055,16056,0.0226027,ORorBETA,Phenotype,SNP
15980,16061,0.009,ORorBETA,Phenotype,SNP
16062,16063,0.66924286,ORorBETA,Phenotype,SNP
16064,16065,0.99,ORorBETA,Phenotype,SNP
16066,16067,0.2,ORorBETA,Phenotype,SNP
15980,16068,0.0275,ORorBETA,Phenotype,SNP
16069,16070,0.30268204,ORorBETA,Phenotype,SNP
16071,16072,0.6415,ORorBETA,Phenotype,SNP
16073,16074,3.09,ORorBETA,Phenotype,SNP
16075,16076,0.0431651,ORorBETA,Phenotype,SNP
15980,16077,0.0067,ORorBETA,Phenotype,SNP
16078,16079,0.00228754,ORorBETA,Phenotype,SNP
16080,16081,0.0192,ORorBETA,Phenotype,SNP
16082,16083,0.47415876,ORorBETA,Phenotype,SNP
16084,16085,0.261201,ORorBETA,Phenotype,SNP
15980,16086,0.0052,ORorBETA,Phenotype,SNP
15980,16087,0.0058,ORorBETA,Phenotype,SNP
16088,16089,0.011734,ORorBETA,Phenotype,SNP
15980,16090,0.0192,ORorBETA,Phenotype,SNP
16016,16091,0.04,ORorBETA,Phenotype,SNP
16092,16093,0.034,ORorBETA,Phenotype,SNP
16094,16095,0.0379,ORorBETA,Phenotype,SNP
16096,16097,0.120043,ORorBETA,Phenotype,SNP
15980,16098,0.005,ORorBETA,Phenotype,SNP
15980,16101,0.0066,ORorBETA,Phenotype,SNP
15980,16102,0.012173496,ORorBETA,Phenotype,SNP
16103,16104,0.049338,ORorBETA,Phenotype,SNP
16105,16106,0.020502066,ORorBETA,Phenotype,SNP
16107,16108,0.0344,ORorBETA,Phenotype,SNP
16111,16112,0.122697,ORorBETA,Phenotype,SNP
15980,16113,0.0396,ORorBETA,Phenotype,SNP
16114,16115,0.013854,ORorBETA,Phenotype,SNP
16116,16037,0.0705198,ORorBETA,Phenotype,SNP
15990,16117,0.0319185,ORorBETA,Phenotype,SNP
16118,16119,4.02,ORorBETA,Phenotype,SNP
16120,16121,0.06385712,ORorBETA,Phenotype,SNP
15980,16122,0.0048,ORorBETA,Phenotype,SNP
16125,16126,1.21,ORorBETA,Phenotype,SNP
16129,16130,0.0153489,ORorBETA,Phenotype,SNP
15980,16131,0.0059,ORorBETA,Phenotype,SNP
16134,16135,0.03885261,ORorBETA,Phenotype,SNP
15980,16136,0.0073,ORorBETA,Phenotype,SNP
16084,16137,0.0248003,ORorBETA,Phenotype,SNP
16138,16139,0.0746,ORorBETA,Phenotype,SNP
16140,16141,0.041756,ORorBETA,Phenotype,SNP
15980,16142,0.0074,ORorBETA,Phenotype,SNP
16143,16144,0.00464,ORorBETA,Phenotype,SNP
15980,16145,0.0182,ORorBETA,Phenotype,SNP
15980,16146,0.0219,ORorBETA,Phenotype,SNP
16147,16148,0.014629,ORorBETA,Phenotype,SNP
15980,16149,0.0092,ORorBETA,Phenotype,SNP
15980,16150,0.0044,ORorBETA,Phenotype,SNP
16153,16154,1.131,ORorBETA,Phenotype,SNP
15980,16155,0.0221,ORorBETA,Phenotype,SNP
16156,16157,0.1762,ORorBETA,Phenotype,SNP
16158,16159,0.0118278,ORorBETA,Phenotype,SNP
16160,16161,1.9389111,ORorBETA,Phenotype,SNP
16162,16163,1.15,ORorBETA,Phenotype,SNP
15980,16164,0.0161,ORorBETA,Phenotype,SNP
16165,16166,0.5,ORorBETA,Phenotype,SNP
16088,16167,0.00833871,ORorBETA,Phenotype,SNP
16168,16169,0.02,ORorBETA,Phenotype,SNP
16042,16170,0.00627,ORorBETA,Phenotype,SNP
16171,16172,0.0202,ORorBETA,Phenotype,SNP
16173,16174,0.069,ORorBETA,Phenotype,SNP
16175,16176,1.1454,ORorBETA,Phenotype,SNP
16177,16178,0.2072,ORorBETA,Phenotype,SNP
16179,16180,0.193,ORorBETA,Phenotype,SNP
16181,16182,0.19,ORorBETA,Phenotype,SNP
16183,16184,0.22962,ORorBETA,Phenotype,SNP
15980,16187,0.0368,ORorBETA,Phenotype,SNP
16188,16189,0.9421,ORorBETA,Phenotype,SNP
16190,16191,0.0148,ORorBETA,Phenotype,SNP
16192,16193,0.05,ORorBETA,Phenotype,SNP
16197,16198,0.025547,ORorBETA,Phenotype,SNP
16042,16199,0.00767,ORorBETA,Phenotype,SNP
16200,16201,0.0132691,ORorBETA,Phenotype,SNP
15980,16202,0.0064,ORorBETA,Phenotype,SNP
16203,16204,0.0243068,ORorBETA,Phenotype,SNP
15980,16205,0.0316,ORorBETA,Phenotype,SNP
16206,16207,1.32309,ORorBETA,Phenotype,SNP
16208,16209,0.012362004,ORorBETA,Phenotype,SNP
16212,16213,1.16,ORorBETA,Phenotype,SNP
15980,16214,0.0046,ORorBETA,Phenotype,SNP
16125,16215,1.0690618,ORorBETA,Phenotype,SNP
16216,16217,3.41,ORorBETA,Phenotype,SNP
16218,16219,0.846182,ORorBETA,Phenotype,SNP
16220,16221,0.001886,ORorBETA,Phenotype,SNP
16222,16223,0.013,ORorBETA,Phenotype,SNP
16224,16225,0.12,ORorBETA,Phenotype,SNP
16226,16227,0.119679,ORorBETA,Phenotype,SNP
16228,16229,0.73,ORorBETA,Phenotype,SNP
16230,16231,1.077,ORorBETA,Phenotype,SNP
16232,16233,0.121991,ORorBETA,Phenotype,SNP
16236,16237,0.6573,ORorBETA,Phenotype,SNP
16238,16239,0.0663157,ORorBETA,Phenotype,SNP
16206,16240,1.22477,ORorBETA,Phenotype,SNP
16088,16243,0.00743071,ORorBETA,Phenotype,SNP
15980,16244,0.0148,ORorBETA,Phenotype,SNP
16246,16247,0.45,ORorBETA,Phenotype,SNP
16248,16249,0.0924105,ORorBETA,Phenotype,SNP
16250,16251,0.026745109,ORorBETA,Phenotype,SNP
16252,16253,0.0244723,ORorBETA,Phenotype,SNP
15990,16255,0.101096,ORorBETA,Phenotype,SNP
16256,16257,6.11,ORorBETA,Phenotype,SNP
16016,16258,0.355,ORorBETA,Phenotype,SNP
16259,16260,0.1765,ORorBETA,Phenotype,SNP
16261,16262,0.123,ORorBETA,Phenotype,SNP
16263,16264,0.428012,ORorBETA,Phenotype,SNP
16265,16266,0.189663,ORorBETA,Phenotype,SNP
16042,16267,0.0117,ORorBETA,Phenotype,SNP
15980,16268,0.119,ORorBETA,Phenotype,SNP
16269,16270,0.7285,ORorBETA,Phenotype,SNP
16273,16274,0.006,ORorBETA,Phenotype,SNP
16088,16275,0.021,ORorBETA,Phenotype,SNP
16279,16280,0.0348,ORorBETA,Phenotype,SNP
16281,16282,0.073635325,ORorBETA,Phenotype,SNP
16283,16284,0.008,ORorBETA,Phenotype,SNP
16287,16288,0.0716648,ORorBETA,Phenotype,SNP
16109,16289,45.8,ORorBETA,Phenotype,SNP
16290,16291,1.29e-05,ORorBETA,Phenotype,SNP
16292,16293,0.061532624,ORorBETA,Phenotype,SNP
68,16294,0.0308377,ORorBETA,Phenotype,SNP
16295,16296,0.0693494,ORorBETA,Phenotype,SNP
16297,16298,0.753,ORorBETA,Phenotype,SNP
16301,16302,0.144,ORorBETA,Phenotype,SNP
15980,16303,0.9456,ORorBETA,Phenotype,SNP
16304,16305,1.073,ORorBETA,Phenotype,SNP
16306,16307,0.995,ORorBETA,Phenotype,SNP
16308,16309,0.054015,ORorBETA,Phenotype,SNP
16310,16311,0.05676152,ORorBETA,Phenotype,SNP
16312,16313,0.276275,ORorBETA,Phenotype,SNP
16314,16315,0.05,ORorBETA,Phenotype,SNP
16318,16319,0.0187115,ORorBETA,Phenotype,SNP
16320,16321,0.0485,ORorBETA,Phenotype,SNP
16322,16323,0.272,ORorBETA,Phenotype,SNP
16324,16325,0.020007389,ORorBETA,Phenotype,SNP
16326,16327,0.0118,ORorBETA,Phenotype,SNP
16328,16329,0.308,ORorBETA,Phenotype,SNP
16330,16331,0.0542,ORorBETA,Phenotype,SNP
16332,16333,0.171606,ORorBETA,Phenotype,SNP
16334,16335,0.208041,ORorBETA,Phenotype,SNP
16336,16337,0.0405,ORorBETA,Phenotype,SNP
16338,16339,0.123575,ORorBETA,Phenotype,SNP
16197,16342,0.1319,ORorBETA,Phenotype,SNP
16343,16344,0.03,ORorBETA,Phenotype,SNP
16345,16346,0.283604,ORorBETA,Phenotype,SNP
16347,16348,0.265,ORorBETA,Phenotype,SNP
16350,16351,0.73577,ORorBETA,Phenotype,SNP
16021,16352,0.0542189,ORorBETA,Phenotype,SNP
16353,16354,0.0863945,ORorBETA,Phenotype,SNP
16355,16356,1.369863,ORorBETA,Phenotype,SNP
16357,16358,0.054,ORorBETA,Phenotype,SNP
16359,16360,0.175,ORorBETA,Phenotype,SNP
16361,16362,0.0218,ORorBETA,Phenotype,SNP
16363,16364,0.048704,ORorBETA,Phenotype,SNP
16156,16366,0.216,ORorBETA,Phenotype,SNP
